state,observation_count,authorized_target_rows_read,unauthorized_later_target_rows_read,active_factor_count,active_factor_fraction,active_set_sha256,active_laplace_leader,full_shadow_leader,action_agreement,full_laplace_ei_regret,active_full_ei_spearman,maximum_absolute_ei_difference,median_absolute_ei_difference,worst_challenger,active_ei_gap,b_struct,max_psi,epsilon_struct,theorem_certificate_passed,map_iterations,map_function_evaluations,map_gradient_infinity_norm,factor_energy_gradient_calls,factor_energy_gradient_work,factor_hessian_calls,factor_hessian_work,single_active_fit_conditioning_seconds,factor_energy_gradient_seconds,hessian_construction_seconds,dense_cholesky_seconds,selected_variance_solve_seconds,laplace_solve_relative_residual,load_solve_seconds,load_solve_iterations,load_solve_relative_residual,peak_rss_bytes,path,checkpoint_index,requested_fraction,target_factor_count,factors_added_to_next_checkpoint,ranking_solve_seconds,ranking_solve_iterations,ranking_solve_relative_residual,contribution_sum_error
seed_0_initial,8,8,0,24944,0.20000320723552334,9a8c9dbb7620dc8103ffad79ca1a8cbe0892adc1b036c99a2687c3188af38a56,5,13,False,0.0001887569097884581,0.8909323036194029,0.0026051617470716285,0.0009803969651228824,123,-0.004027104981612066,1.0255372041948112,1.0215100992131991,0.02,False,68,78,3.5672417483985364e-07,79,1970576,1,24944,0.046655416022986174,0.039816537173464894,0.0007267079781740904,0.0004087081179022789,0.0005419999361038208,1.6881249753023045e-15,0.0007888749241828918,17,7.385732846741728e-12,222232576,RERANKED_FINE_PATH,5,0.2,24944,12471,0.0006596660241484642,17,7.421718371569215e-12,3.2889246881495637e-12
seed_0_initial,8,8,0,37415,0.29999679276447666,86841dc8899c4ca9376f7c5fdf495dd02042de85f29bda1461deb113bcbe8a9d,5,13,False,0.0001887569097884581,0.9068185912448208,0.002446843941972702,0.0006140416138138635,41,-0.003507203277490569,0.8955417752597064,0.8920345719822158,0.02,False,35,50,1.092305886178646e-06,51,1908165,1,37415,0.04276770795695484,0.03720528748817742,0.0011162909213453531,0.0004019590560346842,0.0005317081231623888,1.5546528775104895e-15,0.0006826668977737427,17,7.865191022364227e-12,222232576,RERANKED_FINE_PATH,6,0.3,37415,12472,0.0006825830787420273,17,6.126121935356158e-12,9.726663918740996e-13
seed_0_initial,8,8,0,49887,0.39999839638223833,a22efee003b639d559316230cc5b3eb053948b558ad6528ca3ea4a7f6f68fe3e,5,13,False,0.0001887569097884581,0.9097440335858014,0.00224277086770713,0.0004483747297042359,79,-0.004252850104014279,0.7724682658545509,0.7682154157505365,0.02,False,32,46,1.1727537041067437e-06,47,2344689,1,49887,0.05017241695895791,0.044442497193813324,0.001234165858477354,0.0004190418403595686,0.0005703340284526348,1.712447297717161e-15,0.0007169169839471579,17,8.505513783485142e-12,222232576,RERANKED_FINE_PATH,7,0.4,49887,12472,0.0006664169486612082,17,6.310449052066066e-12,1.1295409052536343e-12
seed_0_initial,8,8,0,62359,0.5,3b1ec687595525a48a5e91bd610c614b458df07794de32d5c4e6e8d29a3548fa,5,13,False,0.0001887569097884581,0.9361239259671194,0.002012480010737401,0.0002996874550334379,118,-0.002676945701037374,0.6484658117433821,0.6457888660423448,0.02,False,54,65,2.048242846081072e-06,66,4115694,1,62359,0.08885920909233391,0.0803425433114171,0.0016166670247912407,0.00044362503103911877,0.0005362918600440025,1.60178822932902e-15,0.0007181658875197172,17,9.087452996435643e-12,222232576,RERANKED_FINE_PATH,8,0.5,62359,12472,0.0006634590681642294,17,5.392569619718217e-12,2.4502622153477205e-13
seed_0_initial,8,8,0,74831,0.6000016036177617,abf8d638985a5224b75e27759cb4fdec96954ed233100ebe7b90f1f3dc130749,5,13,False,0.0001887569097884581,0.9537098681788634,0.0016432791062128832,0.00012225663045671922,86,-0.0044297174500570816,0.5280706182713455,0.5236409008212883,0.02,False,52,61,1.0929546038901394e-06,62,4639522,1,74831,0.10351529181934893,0.09577062726020813,0.0018221249338239431,0.00044312491081655025,0.0005547909531742334,1.8723321075399907e-15,0.0016121671069413424,18,2.2326570212778228e-12,222232576,RERANKED_FINE_PATH,9,0.6,74831,12472,0.0006674169562757015,17,5.628857053796138e-12,1.5358825322664416e-12
seed_0_initial,8,8,0,87303,0.7000032072355233,97b3fe42c3e8fa7e658f5ac6a55661e3004594b2c856f8af9efa6c4bc67c1fc3,13,13,True,0.0,0.9672816492132247,0.0014176733690153924,2.4877598611579982e-05,20,-0.00428191073271297,0.4227907013731732,0.41850879064046026,0.02,False,56,67,1.7362057061903746e-06,68,5936604,1,87303,0.12169020785950124,0.11450591636821628,0.0021719171199947596,0.0003917079884558916,0.0005172081291675568,1.5453971170310665e-15,0.000771624967455864,18,2.213768604112444e-12,222232576,RERANKED_FINE_PATH,10,0.7,87303,12471,0.0006665841210633516,17,8.028154781125986e-12,3.943456672317325e-12
seed_0_initial,8,8,0,99774,0.7999967927644767,5cef888791919d5c34e5d34bf6da02d402d260161ea9127aca563929eac49bc3,13,13,True,0.0,0.9846463230283616,0.0011539904611756364,6.409898843907913e-06,127,-0.002893747995461285,0.3088138824894048,0.3059201344939435,0.02,False,32,45,2.606126280127463e-06,46,4589604,1,99774,0.09667570795863867,0.08968446031212807,0.002337999874725938,0.00043704197742044926,0.0005679579917341471,1.5070648652489663e-15,0.0007514171302318573,18,2.1824429135196914e-12,222232576,RERANKED_FINE_PATH,11,0.8,99774,12472,0.0006630828138440847,17,6.775951701079881e-12,4.266031972122164e-13
seed_0_initial,8,8,0,112246,0.8999983963822383,d9b117bdca5f54e866aad773c301fc7f9dd190de1f4d134d18f8788d83fe717b,13,13,True,0.0,0.99659090019033,0.0006076985908469862,2.8649195739673117e-06,51,-0.0033410649899241716,0.20982285878260326,0.20648179379267909,0.02,False,38,52,4.047582647742631e-06,53,5949038,1,112246,0.12090245797298849,0.11339938011951745,0.002573541132733226,0.0004010000266134739,0.0005552079528570175,1.4838687105282235e-15,0.0007331250235438347,17,9.20177541118716e-12,222232576,RERANKED_FINE_PATH,12,0.9,112246,6236,0.0006745001301169395,17,6.813552962831953e-12,1.3819501099021636e-13
seed_0_initial,8,8,0,118482,0.9499991981911191,77412116693ed82de9816c4d5c489cae65318b0d1b3b4dfd88c48bae12d5d54c,13,13,True,0.0,0.9995378819327502,0.0002942469632405201,1.8575393958136788e-06,53,-0.0031773161192707802,0.12605504803373258,0.1228777319144618,0.02,False,29,41,6.99162517145413e-07,42,4976244,1,118482,0.1022828749846667,0.09437641664408147,0.0027494169771671295,0.00046466593630611897,0.0005625002086162567,1.4909972627688691e-15,0.0007143339607864618,17,7.585977517414471e-12,222232576,RERANKED_FINE_PATH,13,0.95,118482,6236,0.0006719590164721012,17,6.6972614684372065e-12,7.721046024755651e-13
seed_0_initial,8,8,0,124718,1.0,ca96c2892ddecebe17eb0a20a124f0297c1191176707496b601d06e3549d4da7,13,13,True,0.0,1.0,2.671248420377248e-09,4.076216204851324e-10,5,-0.00018875767187635784,0.0,-0.00018875767187635784,0.02,True,37,46,2.281531067627185e-06,47,5861746,1,124718,0.11456266604363918,0.10714799934066832,0.0028733748476952314,0.00042862514965236187,0.0006189169362187386,1.7164790920998262e-15,0.0,0,0.0,222232576,RERANKED_FINE_PATH,14,1.0,124718,0,0.0,0,0.0,0.0
