state,observation_count,requested_fraction,active_factor_count,active_factor_fraction,replicate,base_seed,state_index,fraction_index,subset_sha256,active_laplace_leader,full_shadow_leader,action_agreement,full_laplace_ei_regret,active_full_ei_spearman,maximum_absolute_ei_difference,median_absolute_ei_difference,map_iterations,map_gradient_infinity_norm,factor_energy_gradient_work,factor_hessian_work,single_active_fit_conditioning_seconds,peak_rss_bytes,authorized_target_rows_read,unauthorized_later_target_rows_read
seed_0_initial,8,0.1,12472,0.10000160361776167,14,20260823,0,0,5ef232e1435bf3c70c01f4a564214b70893b04c01101b703eb6353879b6f660a,12,13,False,0.0015692658630459579,0.9421020889303144,0.0031659184367941115,0.0011784757104997424,64,9.115817670365955e-07,922928,12472,0.023446750128641725,222232576,8,0
seed_0_initial,8,0.1,12472,0.10000160361776167,15,20260823,0,0,e71b96d2933f29cf8199a1c82329051568c8cafad69f04f2e1c3e0942b4062d7,12,13,False,0.0015692658630459579,0.9468779616676982,0.003156457230575182,0.0011955365064616596,66,3.3232744227687516e-07,960344,12472,0.024733749916777015,222232576,8,0
seed_0_initial,8,0.1,12472,0.10000160361776167,16,20260823,0,0,78b8cfff2f994456e68f70adb9ee6dbbf9d2ee96b707ae5a60770990b56c9906,12,13,False,0.0015692658630459579,0.9425132956850707,0.0031513406273785544,0.0011846787002215559,81,2.6755062470899815e-06,1184840,12472,0.03176820813678205,222232576,8,0
seed_0_initial,8,0.1,12472,0.10000160361776167,17,20260823,0,0,1a09cf8a515cf7d67af16d23d8fbf10510d5c1da4ab1842b542e9d8c9d46d966,12,13,False,0.0015692658630459579,0.9377021766544221,0.003139373469555673,0.001191290718850463,86,7.430639199397515e-07,1222256,12472,0.03120087506249547,222232576,8,0
seed_0_initial,8,0.1,12472,0.10000160361776167,18,20260823,0,0,753fb394541a3fe513b2f7052c94c89caa930e31c61daf643a742425f2a2ec9b,12,13,False,0.0015692658630459579,0.9480704612564914,0.0031532752210728203,0.001179494189853884,75,1.2773004489478879e-06,1110008,12472,0.029192500049248338,222232576,8,0
seed_0_initial,8,0.1,12472,0.10000160361776167,19,20260823,0,0,cbaa1d7e6d8e133881b34d5506517a569b311f25aa2bc8ffa15d598380002f92,12,13,False,0.0015692658630459579,0.946298355956232,0.003135016641730836,0.001197169217097947,78,4.0096811871823124e-07,1159896,12472,0.029632459161803126,222232576,8,0
seed_0_initial,8,0.2,24944,0.20000320723552334,0,20260823,0,1,ba21d0dd9d72a91ea07e6da5ecebb155e584144f1a8e5b5c414fadbd06124e49,12,13,False,0.0015692658630459579,0.9720829776068552,0.0028425562978046486,0.0010247658006360492,79,1.2484557186977219e-06,2269904,24944,0.04990916606038809,222232576,8,0
seed_0_initial,8,0.2,24944,0.20000320723552334,1,20260823,0,1,1d6cf3e9c258fd0d08609c272746e99d4d9a98b5b4dcaa629738d498b340b07c,12,13,False,0.0015692658630459579,0.9688892718115814,0.0028339329280262712,0.001038291100594885,80,7.587240133683643e-07,2244960,24944,0.0495963750872761,222232576,8,0
seed_0_initial,8,0.2,24944,0.20000320723552334,2,20260823,0,1,a7b0fc164531a50ff527448350d20f8d7e00b9d9e571364770ce77342c390e4c,12,13,False,0.0015692658630459579,0.9696039883138957,0.0028930958683436973,0.0010402050354087478,82,2.822905864827141e-07,2369680,24944,0.052267375169321895,222232576,8,0
seed_0_initial,8,0.2,24944,0.20000320723552334,3,20260823,0,1,49bea369ab40d4a241b21d5f3316f0e2f621879096be2e15f12aa756c35dcefb,12,13,False,0.0015692658630459579,0.9675107501194459,0.0028060431641238753,0.0010369345004198841,75,1.2052887098414067e-06,2120240,24944,0.05534870899282396,222232576,8,0
