action_position_x,action_position_xhat,action_key_x,action_key_xhat,node_x,node_xhat,total_structural_influence,highest_influence_factor_index,highest_influence_factor_graph_distance,factors_for_90_percent,factor_fraction_for_90_percent,factor_set_sha256_for_90_percent,factors_for_95_percent,factor_fraction_for_95_percent,factor_set_sha256_for_95_percent,factors_for_99_percent,factor_fraction_for_99_percent,factor_set_sha256_for_99_percent
0,35,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000289723,48,501,4.461061778748972,31,0,529,0.31469363474122547,bb355a3a3da861eb27d634f78a43b0157a8344ad572317363872bb2cbd2639d5,913,0.5431290898274836,566eacd6709d8e208c8213add1706ccaae824ac762b410e5c0a1dbc52e98a1cb,1422,0.8459250446162998,4f79febd19c2c87be52610f311cdf1996ae493507b116ab3d98f1114c8e0ee9e
0,36,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000286963,48,502,6.081765616800167,31,0,472,0.280785246876859,b46cb50bca588a053836c480027b015e4a5434c30f8d3f5d558c045616bc7eaf,871,0.5181439619274242,f6a3c1303a0259778c7d857f2e5bfa2252d8b4eb63cf6d05222ac2af0f80d7b0,1410,0.8387864366448543,73460d8f14b16d9424a885a17626611a93e97f7599cd85fe16a3d920412f4234
0,37,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000011636,48,503,5.340677613505942,31,0,543,0.323022010707912,fe4d0903db04bd1ad38b751aabede001ca6b675872c1b46d6505f65bf3addf14,937,0.5574063057703748,240a262657126239074950ce2ee8d388a56b57ffb8e082577ee9f7278213c7a0,1442,0.8578227245687091,3a5a66c276b13846b527eedf97a76e119ca1236f6eab5136602e25a1691f2989
0,38,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000286953,48,504,6.047879463745735,31,0,469,0.27900059488399764,e7141b57463cd5e133a19a974acea72e70fce3f6d2ea53699e0805c67210f0a5,866,0.5151695419393219,8d4597283cd218073d39dc750a57a88d3fd77d6a76983d0a7e161e1824617bce,1431,0.851279000594884,c33f1827b4774cdf3f32024e98a6476f931b32b5100b3f638f5d4c2e722556b2
0,39,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000289712,48,505,5.629683476639064,31,0,515,0.30636525877453896,96585139b7149a7af6f9926188c437e181ff320ebba8fb15c75736f1354290a7,927,0.5514574657941701,c8f7d2f35c71f52a643c8b832fc8955731d92849509022e2c2efe8d40a2e19bd,1458,0.8673408685306365,359820184db0ff5cb8f2647a515fe656f29c9bf00b274dc6d29cc3724b3b4998
0,40,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000286968,48,506,6.119310575277458,31,0,519,0.3087447947650208,0c7b69ee0d7ac864cb6a5260c5066a8a9805b8f10946d275e96fa56ed8526c7b,918,0.546103509815586,da136d3d254f594f74553a948ea3b4a42e5c0aaddf3bd3d1348a41547b141644,1461,0.8691255205234979,77358cb1d0767c66fad3f60c2f9a6956b379aa89e89da3c62606ce0f16925f21
0,41,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000010975,48,507,6.11919780058931,31,0,481,0.2861392028554432,5f16baeeebd8aa6408770bdf0ef08456dfa697d996e367444f527e9f333d8457,868,0.5163593099345628,885149babc06c84fdfdfdbe9b165c609326ff48fdeb0a915f02cb8cceeceebdd,1407,0.8370017846519928,d28a11c1a9ba4d0d09cf9e07cc836c50fe44932b8838d8e734d83c002757e567
0,42,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000012174,48,508,5.1150772974430545,31,0,494,0.29387269482450923,2dbec8cf05982e7094adcb8e8019c415c0aa03470c04e9560d47770cd2a027e4,873,0.5193337299226651,5790fe279ad447549078ebaffb750ab592d5b84ce040f08580066555ef6dfa07,1401,0.8334324806662701,ad0675009fbb4c5db2e94098861bdd5e5bad60f7c703dd7a83113e92a4e85cdf
0,43,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000010575,48,509,5.399341916574724,31,0,499,0.29684711481261156,2380b7092666fde816096f223337ea66a51c01496f43ebd0569d386252482f08,895,0.5324211778703153,c1e5ce79686d263924e3355062f68a3bf3c257c179939e7f56f32631049bf33a,1414,0.8411659726353361,5dde7864134e1854dba1723716b57654c53a29d776eeb3ad1a9ccdac0de4b7d9
0,44,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000011802,48,510,5.346378538650571,31,0,507,0.30160618679357526,a6c4171d551ad7a56d7fa1c9e6e2debcda799c1e2f14ccd6582bc55e51bb344a,906,0.5389649018441404,aae0f2eae3ac78fb3b66d570e7272981bac73267767c249ccd3cca150c62b5ce,1447,0.8607971445568114,28861bd4fabea100e6c8beaf7409bb9d99f1a3fa3e7ed62ade8a853ea1d49d35
