converged,dataset,final_best,final_regret,fit_seconds,global_best,initial_best,model,record_type,regret_auc,seed,steps,top1_hit,top5_hit
True,trpb,1.5738482164644372,0.5855357159642334,1.5651403470001242,2.260764949453726,1.087622621392481,S0,sequential,0.6931653002949002,9,32,True,True
True,trpb,1.087622621392481,1.0,1.0309973280018312,2.260764949453726,1.087622621392481,S1,sequential,1.0,9,32,True,True
True,trpb,1.828448184000856,0.3685117782488711,4.484870275000503,2.260764949453726,1.087622621392481,S2,sequential,0.839703863672826,9,32,True,True
True,creilov,4.176619775,0.6696901490207763,1.9827194699998927,4.273760742,4.128707142,S0,sequential,0.7882744291377468,0,32,True,True
True,creilov,4.174245066,0.686061400751169,1.3332383070001015,4.273760742,4.128707142,S1,sequential,0.7205469170103309,0,32,True,True
True,creilov,4.210703621,0.43471600153322393,6.628109569000117,4.273760742,4.128707142,S2,sequential,0.7076424207370577,0,32,True,True
True,creilov,4.176619775,0.8344551592494267,1.8026322800008074,4.273760742,4.157348295,S0,sequential,0.8973966498402016,1,32,True,True
True,creilov,4.178700884,0.8165781275948943,1.2647202690004633,4.273760742,4.157348295,S1,sequential,0.8569009365413904,1,32,True,True
True,creilov,4.176619775,0.8344551592494267,6.408115351999868,4.273760742,4.157348295,S2,sequential,0.8697351578628908,1,32,True,True
True,creilov,4.18610613,0.4248559806735369,1.9843139899999187,4.273760742,4.067444682,S0,sequential,0.4384137371867719,2,32,True,True
True,creilov,4.18610613,0.4248559806735369,1.2536228360008863,4.273760742,4.067444682,S1,sequential,0.48422410227056434,2,32,True,True
True,creilov,4.167614552,0.5144834095804278,6.98931311899878,4.273760742,4.067444682,S2,sequential,0.5672313653442691,2,32,True,True
True,creilov,4.171329573,0.5328995737424322,2.031784190000053,4.273760742,4.081545972,S0,sequential,0.5784442983524365,3,32,True,True
True,creilov,4.154283178,0.6215836795476226,1.288930520998747,4.273760742,4.081545972,S1,sequential,0.6553699011397508,3,32,True,True
True,creilov,4.17156676,0.5316656050937183,6.912960981001561,4.273760742,4.081545972,S2,sequential,0.5910807845957926,3,32,True,True
True,creilov,4.185921492,0.6401533868418874,1.8285296509989166,4.273760742,4.1365448,S0,sequential,0.6457759901724829,4,32,True,True
True,creilov,4.187751191,0.6268189377004023,1.2798294049989636,4.273760742,4.1365448,S1,sequential,0.7619875000338906,4,32,True,True
True,creilov,4.187751191,0.6268189377004023,8.909272979998605,4.273760742,4.1365448,S2,sequential,0.6410320043433803,4,32,True,True
True,creilov,4.184531122,1.0,1.979654706999554,4.273760742,4.184531122,S0,sequential,1.0,5,32,True,True
True,creilov,4.184531122,1.0,1.3135334760008845,4.273760742,4.184531122,S1,sequential,1.0,5,32,True,True
True,creilov,4.206643601000001,0.7521845436526525,6.656085021000763,4.273760742,4.184531122,S2,sequential,0.9961278834945727,5,32,True,True
True,creilov,4.164641944,0.7730129397429967,1.930000469001243,4.273760742,4.132600365,S0,sequential,0.792954889241867,6,32,True,True
True,creilov,4.171329573,0.7256368336278936,1.2969262539995725,4.273760742,4.132600365,S1,sequential,0.7493334735497346,6,32,True,True
