candidate_count,constant_high_utility_nll,converged,coverage_50,coverage_80,coverage_90,coverage_95,crps,dataset,finite,fit_evaluations,fit_iterations,fit_message,fit_seconds,high_utility_count,high_utility_nll,interval_calibration_error,model,n,nll,objective,one_step_regret,record_type,rmse,seed,selected_test_index,selected_top_decile,spearman,top10_recall
111835,1.7315636215689132,True,0.18517525035765378,0.5434549356223176,0.785675965665236,0.8619456366237482,0.05281476587695614,trpb,True,13,12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.07254386200020235,11184,1.9040103264624795,0.1934370529327611,S1,48,-0.2852377110760596,1.4243343589968325,1.3737865739827193,offline,0.142279089651011,5,48771,False,0.3467516943310988,0.29613733291625977
111835,1.2692702303496224,True,0.10774320457796853,0.2347997138769671,0.37508941344778257,0.5005364806866953,0.060363509986455996,trpb,True,21,17,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.1580817669996577,11184,3.6991232002482475,0.4829577968526466,S2,48,0.18945509171804917,1.5478182543391301,1.352312232273427,offline,0.1527709388635464,5,108710,False,0.3068945387742395,0.2847818434238434
111787,3.478304919628288,True,0.5724125592629037,0.7819125145361839,0.817425530011629,0.8347794972716701,0.04979062886242776,trpb,True,17,15,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.23197564099973533,11179,3.222863711802964,0.07207375436085517,S0,96,-0.31061659022711824,1.432720480915504,1.0384981283309318,offline,0.1437802810126333,5,46160,True,0.4162548108073169,0.33321407437324524
111787,3.3766877302726535,True,0.2798998121477771,0.7152697021200465,0.8227032829412291,0.8458717237677789,0.049693281442475916,trpb,True,10,9,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.04889684700037833,11179,3.2323776256586756,0.12156386975579213,S1,96,-0.26192969351380874,1.406139875184635,1.3777733880700784,offline,0.14053241673734856,5,32042,False,0.35851390717385895,0.3562035858631134
111787,2.8518850174711945,True,0.16012165667769926,0.4181948295911978,0.6618659987476518,0.7830754092494856,0.051831098394529006,trpb,True,26,23,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.1949432340002204,11179,2.976137517033868,0.2816855264334914,S2,96,-0.15247425697564962,1.4813538011429312,1.0384981283309318,offline,0.1409262022075849,5,46160,True,0.3236980260462736,0.33375078439712524
111691,2.2747843368660305,True,0.27717099373321397,0.6998209489704565,0.8020590868397494,0.8427036705461056,0.053889281055247346,trpb,True,16,14,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.27503239699990445,11170,2.1905900659318194,0.13206132497761863,S0,192,-0.507812998087981,1.3817090973404165,2.061285830849512,offline,0.13824592466720068,5,10333,False,0.3715181497670099,0.3283796012401581
111691,2.0276253504489756,True,0.20170098478066248,0.6136974037600716,0.8030438675022381,0.8589077887197851,0.05453617171085991,trpb,True,11,10,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.05314035600031275,11170,2.1450978938977148,0.16816248880931067,S1,192,-0.48108963361746954,1.3649918965342591,1.2740874070519594,offline,0.13850151206320405,5,81642,True,0.3455591245761025,0.30259624123573303
111691,1.8783831724562126,True,0.12820053715308863,0.36544315129811994,0.5599820948970456,0.6715308863025963,0.05688320132756979,trpb,True,32,27,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.24409282199985682,11170,3.312429874877773,0.35621083258728736,S2,192,-0.2765964622879539,1.3523108321278157,2.061285830849512,offline,0.14530667728062788,5,10333,False,0.3022572776242859,0.2930169999599457
111835,1.2018644454688712,True,0.39234620886981403,0.8469241773962805,0.8722281831187411,0.8851037195994278,0.057401621798000006,trpb,True,15,11,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.7756085289997827,11184,1.0327183542210416,0.061811516452074375,S0,48,-0.5199017485896469,1.4347151641537743,0.5070266036758632,offline,0.14198128542333568,6,71330,True,0.35150938408480575,0.35121601819992065
111835,1.4467619655579935,True,0.4507331902718169,0.8386981402002861,0.8594420600858369,0.8723175965665236,0.05718910970508165,trpb,True,12,11,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.07143037900004856,11184,1.311753943327628,0.05155132331902715,S1,48,-0.5147161258950393,1.4491401123482188,1.4966170288479428,offline,0.1418459329680231,6,100110,False,0.3366170949525993,0.36292919516563416
