seed,method,phase,initial_order,query_index,action_position,action_key,node_index,gw_band_gap_ev,standardized_observation,best_observed_gw_ev,simple_regret_ev
0,FULL_PBE_OPT,sequential,,8,71,current-nlr-pbe-gw-v1:gw:matdb:000289958,709,7.794,1.729296733770832,,
0,FULL_PBE_OPT,sequential,,9,85,current-nlr-pbe-gw-v1:gw:matdb:000011426,816,4.269,-0.21543798836736605,,
0,FULL_PBE_OPT,sequential,,10,135,current-nlr-pbe-gw-v1:gw:matdb:000289941,1555,5.996,0.7373441010319728,,
0,FULL_PBE_OPT,sequential,,11,46,current-nlr-pbe-gw-v1:gw:matdb:000289999,513,6.904,1.2382856975430319,,
0,FULL_PBE_OPT,sequential,,12,77,current-nlr-pbe-gw-v1:gw:matdb:000011455,730,3.015,-0.9072670214344017,,
0,ADAPTIVE_PBE,sequential,,1,13,current-nlr-pbe-gw-v1:gw:matdb:000010014,143,9.753,2.8100727112655077,,
0,ADAPTIVE_PBE,sequential,,2,165,current-nlr-pbe-gw-v1:gw:matdb:000010579,1971,9.956,2.922067363348927,,
0,ADAPTIVE_PBE,sequential,,3,15,current-nlr-pbe-gw-v1:gw:matdb:000010786,203,10.349,3.1388845962000795,,
0,ADAPTIVE_PBE,sequential,,4,11,current-nlr-pbe-gw-v1:gw:matdb:000010003,133,6.157,0.8261674457877881,,
0,ADAPTIVE_PBE,sequential,,5,12,current-nlr-pbe-gw-v1:gw:matdb:000009592,138,5.645,0.543698175508424,,
0,ADAPTIVE_PBE,sequential,,6,5,current-nlr-pbe-gw-v1:gw:matdb:000011924,89,10.14,3.023579757355574,,
0,ADAPTIVE_PBE,sequential,,7,134,current-nlr-pbe-gw-v1:gw:matdb:000286993,1554,8.131,1.9152188901851792,,
0,ADAPTIVE_PBE,sequential,,8,71,current-nlr-pbe-gw-v1:gw:matdb:000289958,709,7.794,1.729296733770832,,
0,ADAPTIVE_PBE,sequential,,9,85,current-nlr-pbe-gw-v1:gw:matdb:000011426,816,4.269,-0.21543798836736605,,
0,ADAPTIVE_PBE,sequential,,10,135,current-nlr-pbe-gw-v1:gw:matdb:000289941,1555,5.996,0.7373441010319728,,
0,ADAPTIVE_PBE,sequential,,11,46,current-nlr-pbe-gw-v1:gw:matdb:000289999,513,6.904,1.2382856975430319,,
0,ADAPTIVE_PBE,sequential,,12,77,current-nlr-pbe-gw-v1:gw:matdb:000011455,730,3.015,-0.9072670214344017,,
1,FULL_PBE_OPT,initial,1,0,177,current-nlr-pbe-gw-v1:gw:matdb:000010890,2038,4.095,-0.034574718668282066,,
1,FULL_PBE_OPT,initial,2,0,87,current-nlr-pbe-gw-v1:gw:matdb:000009700,853,4.003,-0.11008508347497581,,
1,FULL_PBE_OPT,initial,3,0,6,current-nlr-pbe-gw-v1:gw:matdb:000009985,120,5.716,1.295885078632273,,
1,FULL_PBE_OPT,initial,4,0,181,current-nlr-pbe-gw-v1:gw:matdb:000290216,2053,3.601,-0.44003254708683465,,
1,FULL_PBE_OPT,initial,5,0,156,current-nlr-pbe-gw-v1:gw:matdb:000290207,1880,4.959,0.6745660986467574,,
1,FULL_PBE_OPT,initial,6,0,27,current-nlr-pbe-gw-v1:gw:matdb:000289674,395,4.761,0.5120546613453947,,
1,FULL_PBE_OPT,initial,7,0,140,current-nlr-pbe-gw-v1:gw:matdb:000289987,1576,4.369,0.19031484608208932,,
1,FULL_PBE_OPT,initial,8,0,94,current-nlr-pbe-gw-v1:gw:matdb:000009916,886,1.593,-2.0881283354764175,,
1,ADAPTIVE_PBE,initial,1,0,177,current-nlr-pbe-gw-v1:gw:matdb:000010890,2038,4.095,-0.034574718668282066,,
1,ADAPTIVE_PBE,initial,2,0,87,current-nlr-pbe-gw-v1:gw:matdb:000009700,853,4.003,-0.11008508347497581,,
1,ADAPTIVE_PBE,initial,3,0,6,current-nlr-pbe-gw-v1:gw:matdb:000009985,120,5.716,1.295885078632273,,
1,ADAPTIVE_PBE,initial,4,0,181,current-nlr-pbe-gw-v1:gw:matdb:000290216,2053,3.601,-0.44003254708683465,,
1,ADAPTIVE_PBE,initial,5,0,156,current-nlr-pbe-gw-v1:gw:matdb:000290207,1880,4.959,0.6745660986467574,,
1,ADAPTIVE_PBE,initial,6,0,27,current-nlr-pbe-gw-v1:gw:matdb:000289674,395,4.761,0.5120546613453947,,
1,ADAPTIVE_PBE,initial,7,0,140,current-nlr-pbe-gw-v1:gw:matdb:000289987,1576,4.369,0.19031484608208932,,
1,ADAPTIVE_PBE,initial,8,0,94,current-nlr-pbe-gw-v1:gw:matdb:000009916,886,1.593,-2.0881283354764175,,
1,FULL_PBE_OPT,sequential,,1,13,current-nlr-pbe-gw-v1:gw:matdb:000010014,143,9.753,4.609312716943402,,
1,FULL_PBE_OPT,sequential,,2,165,current-nlr-pbe-gw-v1:gw:matdb:000010579,1971,9.956,4.775927978419041,,
1,FULL_PBE_OPT,sequential,,3,15,current-nlr-pbe-gw-v1:gw:matdb:000010786,203,10.349,5.098488558517202,,
1,FULL_PBE_OPT,sequential,,4,12,current-nlr-pbe-gw-v1:gw:matdb:000009592,138,5.645,1.2376107753575412,,
1,FULL_PBE_OPT,sequential,,5,11,current-nlr-pbe-gw-v1:gw:matdb:000010003,133,6.157,1.657842370803491,,
1,FULL_PBE_OPT,sequential,,6,14,current-nlr-pbe-gw-v1:gw:matdb:000009613,148,7.554,2.804450845096443,,
1,FULL_PBE_OPT,sequential,,7,5,current-nlr-pbe-gw-v1:gw:matdb:000011924,89,10.14,4.92694870803243,,
1,FULL_PBE_OPT,sequential,,8,134,current-nlr-pbe-gw-v1:gw:matdb:000286993,1554,8.131,3.2780321548079914,,
1,FULL_PBE_OPT,sequential,,9,71,current-nlr-pbe-gw-v1:gw:matdb:000289958,709,7.794,3.0014344054617315,,
1,FULL_PBE_OPT,sequential,,10,85,current-nlr-pbe-gw-v1:gw:matdb:000011426,816,4.269,0.10823836259655262,,
1,FULL_PBE_OPT,sequential,,11,135,current-nlr-pbe-gw-v1:gw:matdb:000289941,1555,5.996,1.5256992323917768,,
1,FULL_PBE_OPT,sequential,,12,77,current-nlr-pbe-gw-v1:gw:matdb:000011455,730,3.015,-0.9210007403120813,,
1,ADAPTIVE_PBE,sequential,,1,13,current-nlr-pbe-gw-v1:gw:matdb:000010014,143,9.753,4.609312716943402,,
1,ADAPTIVE_PBE,sequential,,2,165,current-nlr-pbe-gw-v1:gw:matdb:000010579,1971,9.956,4.775927978419041,,
1,ADAPTIVE_PBE,sequential,,3,15,current-nlr-pbe-gw-v1:gw:matdb:000010786,203,10.349,5.098488558517202,,
1,ADAPTIVE_PBE,sequential,,4,12,current-nlr-pbe-gw-v1:gw:matdb:000009592,138,5.645,1.2376107753575412,,
1,ADAPTIVE_PBE,sequential,,5,11,current-nlr-pbe-gw-v1:gw:matdb:000010003,133,6.157,1.657842370803491,,
1,ADAPTIVE_PBE,sequential,,6,14,current-nlr-pbe-gw-v1:gw:matdb:000009613,148,7.554,2.804450845096443,,
1,ADAPTIVE_PBE,sequential,,7,5,current-nlr-pbe-gw-v1:gw:matdb:000011924,89,10.14,4.92694870803243,,
1,ADAPTIVE_PBE,sequential,,8,134,current-nlr-pbe-gw-v1:gw:matdb:000286993,1554,8.131,3.2780321548079914,,
1,ADAPTIVE_PBE,sequential,,9,71,current-nlr-pbe-gw-v1:gw:matdb:000289958,709,7.794,3.0014344054617315,,
1,ADAPTIVE_PBE,sequential,,10,85,current-nlr-pbe-gw-v1:gw:matdb:000011426,816,4.269,0.10823836259655262,,
1,ADAPTIVE_PBE,sequential,,11,135,current-nlr-pbe-gw-v1:gw:matdb:000289941,1555,5.996,1.5256992323917768,,
1,ADAPTIVE_PBE,sequential,,12,77,current-nlr-pbe-gw-v1:gw:matdb:000011455,730,3.015,-0.9210007403120813,,
2,FULL_PBE_OPT,initial,1,0,17,current-nlr-pbe-gw-v1:gw:matdb:000012394,273,3.052,-0.5868350240077191,,
2,FULL_PBE_OPT,initial,2,0,48,current-nlr-pbe-gw-v1:gw:matdb:000289757,519,5.391,1.1636602683934352,,
2,FULL_PBE_OPT,initial,3,0,154,current-nlr-pbe-gw-v1:gw:matdb:000290272,1866,5.904,1.547586769035501,,
2,FULL_PBE_OPT,initial,4,0,153,current-nlr-pbe-gw-v1:gw:matdb:000287048,1864,4.15,0.234902398419159,,
2,FULL_PBE_OPT,initial,5,0,55,current-nlr-pbe-gw-v1:gw:matdb:000009667,648,2.002,-1.3726494990060998,,
2,FULL_PBE_OPT,initial,6,0,85,current-nlr-pbe-gw-v1:gw:matdb:000011426,816,4.269,0.3239613722523086,,
2,FULL_PBE_OPT,initial,7,0,77,current-nlr-pbe-gw-v1:gw:matdb:000011455,730,3.015,-0.6145256293171858,,
2,FULL_PBE_OPT,initial,8,0,20,current-nlr-pbe-gw-v1:gw:matdb:000286928,295,2.906,-0.6961006557693986,,
2,ADAPTIVE_PBE,initial,1,0,17,current-nlr-pbe-gw-v1:gw:matdb:000012394,273,3.052,-0.5868350240077191,,
2,ADAPTIVE_PBE,initial,2,0,48,current-nlr-pbe-gw-v1:gw:matdb:000289757,519,5.391,1.1636602683934352,,
2,ADAPTIVE_PBE,initial,3,0,154,current-nlr-pbe-gw-v1:gw:matdb:000290272,1866,5.904,1.547586769035501,,
2,ADAPTIVE_PBE,initial,4,0,153,current-nlr-pbe-gw-v1:gw:matdb:000287048,1864,4.15,0.234902398419159,,
2,ADAPTIVE_PBE,initial,5,0,55,current-nlr-pbe-gw-v1:gw:matdb:000009667,648,2.002,-1.3726494990060998,,
2,ADAPTIVE_PBE,initial,6,0,85,current-nlr-pbe-gw-v1:gw:matdb:000011426,816,4.269,0.3239613722523086,,
2,ADAPTIVE_PBE,initial,7,0,77,current-nlr-pbe-gw-v1:gw:matdb:000011455,730,3.015,-0.6145256293171858,,
2,ADAPTIVE_PBE,initial,8,0,20,current-nlr-pbe-gw-v1:gw:matdb:000286928,295,2.906,-0.6961006557693986,,
2,FULL_PBE_OPT,sequential,,1,13,current-nlr-pbe-gw-v1:gw:matdb:000010014,143,9.753,4.428158115958135,,
2,FULL_PBE_OPT,sequential,,2,165,current-nlr-pbe-gw-v1:gw:matdb:000010579,1971,9.956,4.580082247791156,,
2,FULL_PBE_OPT,sequential,,3,15,current-nlr-pbe-gw-v1:gw:matdb:000010786,203,10.349,4.8742013798619785,,
2,FULL_PBE_OPT,sequential,,4,11,current-nlr-pbe-gw-v1:gw:matdb:000010003,133,6.157,1.736930637773206,,
2,FULL_PBE_OPT,sequential,,5,12,current-nlr-pbe-gw-v1:gw:matdb:000009592,138,5.645,1.3537525318692334,,
2,FULL_PBE_OPT,sequential,,6,14,current-nlr-pbe-gw-v1:gw:matdb:000009613,148,7.554,2.782438086890099,,
2,FULL_PBE_OPT,sequential,,7,6,current-nlr-pbe-gw-v1:gw:matdb:000009985,120,5.716,1.4068885582738864,,
2,FULL_PBE_OPT,sequential,,8,7,current-nlr-pbe-gw-v1:gw:matdb:000009577,122,6.24,1.7990474010349828,,
2,FULL_PBE_OPT,sequential,,9,5,current-nlr-pbe-gw-v1:gw:matdb:000011924,89,10.14,4.717786879600396,,
2,FULL_PBE_OPT,sequential,,10,134,current-nlr-pbe-gw-v1:gw:matdb:000286993,1554,8.131,3.2142618507701615,,
2,FULL_PBE_OPT,sequential,,11,71,current-nlr-pbe-gw-v1:gw:matdb:000289958,709,7.794,2.9620528240325856,,
2,FULL_PBE_OPT,sequential,,12,135,current-nlr-pbe-gw-v1:gw:matdb:000289941,1555,5.996,1.6164390849401213,,
2,ADAPTIVE_PBE,sequential,,1,13,current-nlr-pbe-gw-v1:gw:matdb:000010014,143,9.753,4.428158115958135,,
2,ADAPTIVE_PBE,sequential,,2,165,current-nlr-pbe-gw-v1:gw:matdb:000010579,1971,9.956,4.580082247791156,,
2,ADAPTIVE_PBE,sequential,,3,15,current-nlr-pbe-gw-v1:gw:matdb:000010786,203,10.349,4.8742013798619785,,
2,ADAPTIVE_PBE,sequential,,4,11,current-nlr-pbe-gw-v1:gw:matdb:000010003,133,6.157,1.736930637773206,,
2,ADAPTIVE_PBE,sequential,,5,12,current-nlr-pbe-gw-v1:gw:matdb:000009592,138,5.645,1.3537525318692334,,
2,ADAPTIVE_PBE,sequential,,6,14,current-nlr-pbe-gw-v1:gw:matdb:000009613,148,7.554,2.782438086890099,,
2,ADAPTIVE_PBE,sequential,,7,6,current-nlr-pbe-gw-v1:gw:matdb:000009985,120,5.716,1.4068885582738864,,
2,ADAPTIVE_PBE,sequential,,8,7,current-nlr-pbe-gw-v1:gw:matdb:000009577,122,6.24,1.7990474010349828,,
2,ADAPTIVE_PBE,sequential,,9,5,current-nlr-pbe-gw-v1:gw:matdb:000011924,89,10.14,4.717786879600396,,
2,ADAPTIVE_PBE,sequential,,10,134,current-nlr-pbe-gw-v1:gw:matdb:000286993,1554,8.131,3.2142618507701615,,
2,ADAPTIVE_PBE,sequential,,11,71,current-nlr-pbe-gw-v1:gw:matdb:000289958,709,7.794,2.9620528240325856,,
2,ADAPTIVE_PBE,sequential,,12,135,current-nlr-pbe-gw-v1:gw:matdb:000289941,1555,5.996,1.6164390849401213,,
