method,qt_construction_seconds,sparse_factorization_seconds,posterior_mean_solve_seconds,posterior_mean_solve_relative_residual,observation_count,sigma_obs_standardized,selected_variance_solves_seconds,selected_variance_solve_relative_residual,selected_rhs_count,ei_seconds,selected_action_position,selected_action_key,selected_ei_standardized,total_decision_seconds,hyperparameters_fit_or_updated,seed,query_index,decision_kind,marginalization_500_rhs_seconds,marginalization_solve_relative_residual,dense_marginal_precision_seconds,dense_marginal_precision_relative_residual,support_rhs_count,principal_precision_submatrix_used,approximation,optimizer,optimizer_success,optimizer_iterations,optimizer_function_evaluations,gradient_infinity_norm,map_optimization_seconds,optimizer_attempts,factor_energy_gradient_calls,factor_energy_gradient_seconds,hessian_construction_seconds,factor_hessian_calls,factor_hessian_seconds,dense_cholesky_seconds,laplace_solve_relative_residual,laplace_spd_cholesky_success,warm_start_status,importance_validation_seconds_in_total
NO_PBE,0.0007355210000241641,0.0473334100000784,0.0012447600000768944,4.148200171386633e-16,14,0.05,0.1461873729999752,6.026696030046462e-16,191,0.0002871750000394968,15,current-nlr-pbe-gw-v1:gw:matdb:000010786,2.017429597092449e-11,0.2080694899999571,False,1,7,,,,,,,,,,,,,,,,,,,,,,,,,
NO_PBE,0.0006979760000831448,0.04816668200010099,0.0032227189999503025,4.193103966209298e-16,15,0.05,0.17883278299996164,6.311031482750127e-16,191,0.00029813200001171936,117,current-nlr-pbe-gw-v1:gw:matdb:000010399,7.669108127501503e-13,0.24354552499994497,False,1,8,,,,,,,,,,,,,,,,,,,,,,,,,
NO_PBE,0.0007787050000160889,0.047213279999937185,0.0012416040000289286,3.121027670387062e-16,16,0.05,0.15545715599989762,6.460369378477e-16,191,0.0002938899999662681,7,current-nlr-pbe-gw-v1:gw:matdb:000009577,1.9822050722646816e-13,0.22301423799990516,False,1,9,,,,,,,,,,,,,,,,,,,,,,,,,
NO_PBE,0.0007414000000380838,0.10344598500000757,0.0012566699999752018,3.247329850967558e-16,17,0.05,0.12917725499994503,5.821805129897937e-16,191,0.00030225299997255206,9,current-nlr-pbe-gw-v1:gw:matdb:000289592,2.4642694921069486e-13,0.24845475500001157,False,1,10,,,,,,,,,,,,,,,,,,,,,,,,,
NO_PBE,0.000714319000053365,0.04720291299997825,0.0012563050000835574,2.273968828883757e-16,18,0.05,0.14772879899999225,5.716689463333042e-16,191,0.0003086289999600922,77,current-nlr-pbe-gw-v1:gw:matdb:000011455,1.20531091197492e-13,0.21234325199998239,False,1,11,,,,,,,,,,,,,,,,,,,,,,,,,
NO_PBE,0.0007184339999639633,0.04698888999996598,0.0013063040000815818,2.3651061004004905e-16,19,0.05,0.14708652199999506,6.375344264409367e-16,191,0.0002912409998998555,16,current-nlr-pbe-gw-v1:gw:matdb:000289615,7.239366610581312e-14,0.21495810499993695,False,1,12,,,,,,,,,,,,,,,,,,,,,,,,,
FULL_PBE,0.0006924419999450038,0.09573118900004829,0.0012611000000788408,4.2885926860203323e-16,8,0.05,,,,0.0003278699999782475,13,current-nlr-pbe-gw-v1:gw:matdb:000010014,0.01996891015220846,1.9553797710000254,False,1,1,routine_bo_decision,0.3306080120000843,5.561901542558014e-16,0.043833625000047505,5.923769989651656e-16,500,False,Laplace Gaussian; not the exact conditioned posterior,scipy.optimize.minimize/L-BFGS-B,True,83,97,1.8332004851628891e-06,1.355336254000008,"[{'attempt': 1, 'start_source': 'initial_map', 'success': True, 'status': 0, 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH', 'iterations': 83, 'function_evaluations': 97, 'objective': 162.38728057279775, 'gradient_infinity_norm': 1.8332004851628891e-06}]",98,1.3069154329997446,0.017802650000021458,1,0.01779900799999723,0.003842955999971309,7.460437039938157e-16,True,zero_fallback_first_state,0.0
FULL_PBE,0.0007421980000117401,0.08584703700000773,0.0012631460000420702,9.852935233391298e-17,9,0.05,,,,0.00031571399995300453,165,current-nlr-pbe-gw-v1:gw:matdb:000010579,5.948504171236726e-11,1.869948432000001,False,1,2,routine_bo_decision,0.33010751400001936,5.778627808067831e-16,0.049267061000023205,6.101671496914089e-16,500,False,Laplace Gaussian; not the exact conditioned posterior,scipy.optimize.minimize/L-BFGS-B,True,71,76,5.376102307941277e-06,1.2659630099999504,"[{'attempt': 1, 'start_source': 'initial_map', 'success': True, 'status': 0, 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH', 'iterations': 71, 'function_evaluations': 76, 'objective': 161.29118376100934, 'gradient_infinity_norm': 5.376102307941277e-06}]",77,1.210269650999976,0.019263646000013068,1,0.019261026000094716,0.006505319999973835,7.4729079267152145e-16,True,preceding_FULL_PBE_MAP,0.0
FULL_PBE,0.000751681999986431,0.11707225999998627,0.0011427370000092196,3.5706022247052844e-16,10,0.05,,,,0.00035049799998887465,15,current-nlr-pbe-gw-v1:gw:matdb:000010786,1.3941190422748728e-11,3.6278008410000666,False,1,3,routine_bo_decision,1.195038425000007,5.673955860514204e-16,0.19784826000000066,5.874900743052272e-16,500,False,Laplace Gaussian; not the exact conditioned posterior,scipy.optimize.minimize/L-BFGS-B,True,70,74,9.720340423124973e-07,1.9406817300000512,"[{'attempt': 1, 'start_source': 'initial_map', 'success': True, 'status': 0, 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH', 'iterations': 70, 'function_evaluations': 74, 'objective': 160.49162305298358, 'gradient_infinity_norm': 9.720340423124973e-07}]",75,1.7429208409997727,0.02177068799994686,1,0.021768002000044362,0.0038813620000155424,7.331343068402632e-16,True,preceding_FULL_PBE_MAP,0.0
FULL_PBE,0.003140629999961675,0.12267338199990263,0.0014159309999968173,2.468596505267052e-16,11,0.05,,,,0.0003256470000678746,12,current-nlr-pbe-gw-v1:gw:matdb:000009592,1.6425849310110557e-13,2.009115128000076,False,1,4,routine_bo_decision,0.48733795999999074,5.617879277438334e-16,0.03696402700006729,5.794130324138888e-16,500,False,Laplace Gaussian; not the exact conditioned posterior,scipy.optimize.minimize/L-BFGS-B,True,84,93,4.301837531729691e-06,1.2452126540000563,"[{'attempt': 1, 'start_source': 'initial_map', 'success': True, 'status': 0, 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH', 'iterations': 84, 'function_evaluations': 93, 'objective': 159.75488538080668, 'gradient_infinity_norm': 4.301837531729691e-06}]",94,1.1971592900005135,0.016057459999956336,1,0.01605467599995336,0.0038198199999897042,6.873413314048411e-16,True,preceding_FULL_PBE_MAP,0.0
