seed,method,phase,initial_order,query_index,action_position,action_key,node_index,gw_band_gap_ev,standardized_observation,best_observed_gw_ev,simple_regret_ev
2,NO_PBE,sequential,,7,2,current-nlr-pbe-gw-v1:gw:matdb:000289828,77,3.059,-0.5815962608410632,5.904,4.445
2,NO_PBE,sequential,,8,68,current-nlr-pbe-gw-v1:gw:matdb:000289894,706,4.336,0.37410381970458634,5.904,4.445
2,NO_PBE,sequential,,9,127,current-nlr-pbe-gw-v1:gw:matdb:000289918,1492,5.9,1.5445931900831265,5.904,4.445
2,NO_PBE,sequential,,10,24,current-nlr-pbe-gw-v1:gw:matdb:000286938,316,2.621,-0.9093931561261019,5.904,4.445
2,NO_PBE,sequential,,11,175,current-nlr-pbe-gw-v1:gw:matdb:000290273,2020,5.942,1.5760257690830615,5.942,4.407
2,NO_PBE,sequential,,12,129,current-nlr-pbe-gw-v1:gw:matdb:000289900,1519,5.19,1.0132329260366026,5.942,4.407
2,FULL_PBE,sequential,,1,13,current-nlr-pbe-gw-v1:gw:matdb:000010014,143,9.753,4.428158115958135,9.753,0.5960000000000001
2,FULL_PBE,sequential,,2,165,current-nlr-pbe-gw-v1:gw:matdb:000010579,1971,9.956,4.580082247791156,9.956,0.3930000000000007
2,FULL_PBE,sequential,,3,15,current-nlr-pbe-gw-v1:gw:matdb:000010786,203,10.349,4.8742013798619785,10.349,0.0
2,FULL_PBE,sequential,,4,11,current-nlr-pbe-gw-v1:gw:matdb:000010003,133,6.157,1.736930637773206,10.349,0.0
2,FULL_PBE,sequential,,5,12,current-nlr-pbe-gw-v1:gw:matdb:000009592,138,5.645,1.3537525318692334,10.349,0.0
2,FULL_PBE,sequential,,6,14,current-nlr-pbe-gw-v1:gw:matdb:000009613,148,7.554,2.782438086890099,10.349,0.0
2,FULL_PBE,sequential,,7,6,current-nlr-pbe-gw-v1:gw:matdb:000009985,120,5.716,1.4068885582738864,10.349,0.0
2,FULL_PBE,sequential,,8,7,current-nlr-pbe-gw-v1:gw:matdb:000009577,122,6.24,1.7990474010349828,10.349,0.0
2,FULL_PBE,sequential,,9,5,current-nlr-pbe-gw-v1:gw:matdb:000011924,89,10.14,4.717786879600396,10.349,0.0
2,FULL_PBE,sequential,,10,134,current-nlr-pbe-gw-v1:gw:matdb:000286993,1554,8.131,3.2142618507701615,10.349,0.0
2,FULL_PBE,sequential,,11,71,current-nlr-pbe-gw-v1:gw:matdb:000289958,709,7.794,2.9620528240325856,10.349,0.0
2,FULL_PBE,sequential,,12,135,current-nlr-pbe-gw-v1:gw:matdb:000289941,1555,5.996,1.6164390849401213,10.349,0.0
