count,dimension,median,posterior,q25,q75,seed,top2_relevance_probability
32,2,73.82439422607422,fresh,43.116844177246094,139.0270233154297,1,0.0
32,3,71.76725006103516,fresh,37.79030990600586,128.97512817382812,1,0.0
32,4,63.11122512817383,fresh,34.56916809082031,119.54328155517578,1,0.0
32,5,79.11187744140625,fresh,41.634910583496094,143.51513671875,1,0.0
32,6,73.78913879394531,fresh,41.39324951171875,136.75555419921875,1,0.0
32,7,65.80085754394531,fresh,40.122474670410156,138.24427795410156,1,0.0
32,8,74.16512298583984,fresh,41.1589469909668,142.92832946777344,1,0.0
32,9,71.1349868774414,fresh,36.137725830078125,125.3345718383789,1,0.0
40,0,0.4234791100025177,reused,0.4234791100025177,0.4234791100025177,1,0.9999999521722869
40,1,0.6380161643028259,reused,0.6380161643028259,0.6380161643028259,1,0.9999999463676817
40,2,12.074955940246582,reused,12.074955940246582,12.074955940246582,1,2.7533534074110443e-10
40,3,5.2436933517456055,reused,5.2436933517456055,5.2436933517456055,1,1.4879491014393914e-12
40,4,4.614256858825684,reused,4.614256858825684,4.614256858825684,1,2.0902657478576497e-09
40,5,8.66990852355957,reused,8.66990852355957,8.66990852355957,1,5.293108575145483e-09
40,6,14.525150299072266,reused,14.525150299072266,14.525150299072266,1,8.991894413117372e-10
40,7,10.094328880310059,reused,10.094328880310059,10.094328880310059,1,4.6451808552795965e-08
40,8,3.1641123294830322,reused,3.1641123294830322,3.1641123294830322,1,1.3657204768138866e-08
40,9,3.571214199066162,reused,3.571214199066162,3.571214199066162,1,3.279163071848043e-08
40,0,0.6336498260498047,fresh,0.5690065622329712,0.7023663520812989,1,1.0000000000000002
40,1,1.878552794456482,fresh,1.6120907068252563,2.1294078826904297,1,1.0000000000000002
40,2,159.97645568847656,fresh,90.88641357421875,275.763427734375,1,0.0
40,3,144.04454040527344,fresh,83.54276275634766,263.5152893066406,1,0.0
40,4,128.4178924560547,fresh,71.91136169433594,263.30322265625,1,0.0
40,5,154.72557067871094,fresh,93.34439849853516,297.89190673828125,1,0.0
40,6,140.95652770996094,fresh,86.11436462402344,259.36883544921875,1,0.0
40,7,144.17819213867188,fresh,85.87033081054688,289.3680419921875,1,0.0
40,8,151.31268310546875,fresh,85.64962768554688,273.141357421875,1,0.0
40,9,151.8730926513672,fresh,87.66184997558594,272.7508850097656,1,0.0
16,0,0.6199803948402405,reused,0.47541379928588867,0.8896871209144592,2,0.8164062500000001
16,1,0.9895271062850951,reused,0.7147734761238098,1.5325344800949097,2,0.6796875000000001
16,2,3.590975284576416,reused,1.9095079898834229,6.304017066955566,2,0.058593750000000014
16,3,3.6480071544647217,reused,2.0125160217285156,6.193692207336426,2,0.03125000000000001
16,4,3.9055168628692627,reused,2.419240951538086,7.677081108093262,2,0.027343750000000003
16,5,3.028956890106201,reused,1.6835923194885254,5.846549987792969,2,0.09375000000000001
16,6,3.2083775997161865,reused,1.8357670307159424,6.141092300415039,2,0.07812500000000001
16,7,2.9285993576049805,reused,1.7174896001815794,4.93925142288208,2,0.058593750000000014
16,8,2.563494682312012,reused,1.4933089017868042,4.836256504058838,2,0.11718750000000001
16,9,4.123715877532959,reused,2.290985107421875,6.964624881744385,2,0.03906250000000001
16,0,0.6199803948402405,fresh,0.47541379928588867,0.8896871209144592,2,0.8164062500000001
16,1,0.9895271062850951,fresh,0.7147734761238098,1.5325344800949097,2,0.6796875000000001
16,2,3.590975284576416,fresh,1.9095079898834229,6.304017066955566,2,0.058593750000000014
16,3,3.6480071544647217,fresh,2.0125160217285156,6.193692207336426,2,0.03125000000000001
16,4,3.9055168628692627,fresh,2.419240951538086,7.677081108093262,2,0.027343750000000003
16,5,3.028956890106201,fresh,1.6835923194885254,5.846549987792969,2,0.09375000000000001
16,6,3.2083775997161865,fresh,1.8357670307159424,6.141092300415039,2,0.07812500000000001
16,7,2.9285993576049805,fresh,1.7174896001815794,4.93925142288208,2,0.058593750000000014
16,8,2.563494682312012,fresh,1.4933089017868042,4.836256504058838,2,0.11718750000000001
16,9,4.123715877532959,fresh,2.290985107421875,6.964624881744385,2,0.03906250000000001
19,0,0.5434785485267639,reused,0.47541379928588867,0.6644217371940613,2,0.9748307657850344
19,1,0.925022304058075,reused,0.7215026021003722,1.1512827873229978,2,0.9277744420372045
19,2,7.101259708404541,reused,4.210893154144287,11.943441390991211,2,0.009069655078176378
19,3,6.33302640914917,reused,3.757861614227295,11.818553924560547,2,0.0049185374228800345
19,4,6.9821343421936035,reused,4.109905242919922,11.653146743774414,2,0.004310453742070499
19,5,6.258001804351807,reused,3.382603883743286,9.901665687561035,2,0.017261256014119257
19,6,6.586071014404297,reused,3.645385980606079,12.842153549194336,2,0.014820738329120661
