added_observations,cache_chol_max_abs_error,cache_mean_max_abs_error,cache_variance_max_abs_error,conditional_ess_fraction,count,ess,ess_fraction,full_factorization_seconds,full_factorizations,incremental_log_likelihood_variance,likelihood_seconds,likelihood_updates,marginal_increment_max_abs_error,negative_log_ess_fraction,prediction_seconds,rank_one_appends,rank_one_seconds,seed,sequential_update_seconds,validation_factorizations,validation_seconds
13,2.7727820040013285e-14,2.2737367544323206e-13,1.7763568394002505e-14,0.9908926323001856,29,1.8957723345600586,0.007405360681875229,0.004697455000041373,256,0.010212839874100172,0.016711945000110973,3328,6.266098750984384e-13,4.905551124565347,0.041369215000031545,3328,0.021125662000031298,0,0.005662060000076963,9984,0.010319903999970848
14,2.7727820040013285e-14,2.0250467969162855e-13,1.7763568394002505e-14,0.9926576369964919,30,1.8275505038170958,0.007138869155535531,0.004697455000041373,256,0.009675730862071307,0.017768549000152234,3584,6.94999613415348e-14,4.942200896751987,0.04444214100010413,3584,0.022663194000074327,0,0.003106737000052817,10752,0.00982648399997288
15,2.7727820040013285e-14,2.8421709430404007e-13,1.7763568394002505e-14,0.9213908542764053,31,1.3680378871377612,0.00534389799663188,0.004697455000041373,256,0.15406541237609828,0.018870415000151297,3840,1.5223378113660146e-12,5.231799930386569,0.04756213000018761,3840,0.02419992300008289,0,0.003151190999915343,11520,0.008906496999998126
16,2.836619827917275e-14,4.156675004196586e-13,2.1316282072803006e-14,0.988453501675162,32,1.2629909384406597,0.004933558353283827,0.004697455000041373,256,0.016496956940273446,0.023842341000204215,4096,2.7711166694643907e-13,5.311694775768252,0.05449384900020959,4096,0.026003092000109973,0,0.007299366999973245,12288,0.011745797999992647
17,2.836619827917275e-14,4.121147867408581e-13,2.4868995751603507e-14,0.9963318582261053,33,1.2784895999689667,0.004994099999878776,0.004697455000041373,256,0.003377685155046874,0.024967553000237785,4352,4.636291350834654e-13,5.299498063320472,0.058483079000211546,4352,0.027652885000065908,0,0.003264255999965826,13056,0.016124145000048884
18,2.836619827917275e-14,2.7000623958883807e-13,2.4868995751603507e-14,0.9962065852970576,34,1.260284866159286,0.004922987758434711,0.004697455000041373,256,0.004168347085364588,0.02619419900020148,4608,5.861977570020827e-13,5.313839664815967,0.06260787500013976,4608,0.029346959999998035,0,0.0034099160000096163,13824,0.017104706000054648
19,3.166217288352868e-14,3.659295089164516e-13,2.842170943040401e-14,0.9832971109296865,35,1.2523567959124118,0.0048920187340328585,0.004697455000041373,256,0.023163246998525573,0.027379928000186737,4864,2.660094367001875e-13,5.320150231640247,0.06693674700022711,4864,0.031081421999942904,0,0.003479728000002069,14592,0.018215237999925193
20,3.166217288352868e-14,4.405364961712621e-13,2.4868995751603507e-14,0.9125729150275856,36,1.1689206990716579,0.0045660964807486635,0.004697455000041373,256,0.2725077711372086,0.028698227000177212,5120,5.474731779031572e-12,5.389096600841825,0.07121223900026052,5120,0.03295426399995449,0,0.0036864639999976134,15360,0.018266960999994808
21,3.166217288352868e-14,2.8421709430404007e-13,2.4868995751603507e-14,0.9928531539853678,37,1.1201560707261964,0.004375609651274205,0.004697455000041373,256,0.011122291990311874,0.029938150000134556,5376,9.023892744153272e-13,5.431709420018035,0.07634228200015514,5376,0.034803964999923664,0,0.0036151099999415237,16128,0.021617434999939178
22,5.4067861299245124e-14,3.979039320256561e-13,4.618527782440651e-14,0.9961132194482963,38,1.141475194853424,0.004458887479896188,0.004697455000041373,256,0.003084953743080953,0.03125698900021234,5632,6.075140390748857e-13,5.41285598803595,0.08158197800025846,5632,0.03673947999993743,0,0.0037999059999265228,16896,0.02220495500000652
23,5.4067861299245124e-14,4.831690603168681e-13,4.618527782440651e-14,0.9956616355106771,39,1.138905927450783,0.004448851279104621,0.004697455000041373,256,0.0030810578292216136,0.03260757000020931,5888,1.0036416142611415e-12,5.415109355654782,0.08691106400021908,5888,0.038771482999891305,0,0.0039211109999541804,17664,0.022496796000041286
24,5.4067861299245124e-14,4.725109192804666e-13,4.618527782440651e-14,0.9963277181917715,40,1.137592422058741,0.004443720398666957,0.004697455000041373,256,0.0036575623205906665,0.033949576000168236,6144,2.149169731069378e-12,5.416263325775679,0.09234218500012048,6144,0.04077387599988924,0,0.0038686439999082722,18432,0.023762400999999045
0,0.0,0.0,0.0,1.0,16,255.99999999999994,0.9999999999999998,,,0.0,,,0.0,0.0,,,,1,0.0,,
1,2.481348460037225e-14,1.3311574065255627e-13,1.0658141036401503e-14,0.8369712969868567,17,214.26465202863537,0.8369712969868569,0.002087012000060895,256,0.1577917113179648,0.0008279669999637917,256,2.34035013590983e-13,0.17796550180844029,0.0020250659999874188,256,0.0010761659999616313,1,0.002354962000026717,768,0.004679126999917571
2,2.481348460037225e-14,1.1368683772161603e-13,1.4210854715202004e-14,0.5850689212535314,18,106.66256734685957,0.4166506536986702,0.002087012000060895,256,3.0377559335166775,0.0016520809999747144,512,3.3173463975799677e-13,0.8755071692155859,0.004006021999998666,512,0.0021684419999701277,1,0.0023455320000493884,1536,0.004628258999900936
3,2.7498836541184346e-14,3.126388037344441e-13,2.1316282072803006e-14,0.7149679961013098,19,48.11563491361833,0.1879516988813216,0.002087012000060895,256,0.7014655537654417,0.002570944000012787,768,2.708944180085382e-13,1.671570270006036,0.006094738000001598,768,0.003371512000057919,1,0.002595176999989235,2304,0.0049786609999955544
4,3.798350522998817e-14,2.2737367544323206e-13,2.1316282072803006e-14,0.8628780085298579,20,35.52576093876055,0.1387725036670334,0.002087012000060895,256,0.34613087186725877,0.0034157019999838667,1024,7.833733661755105e-13,1.9749193509155092,0.008199315000069873,1024,0.00452402200016877,1,0.002432687000009537,3072,0.00504717499995877
5,6.773748228994236e-14,3.268496584496461e-13,1.4210854715202004e-14,0.8513866653358373,21,20.19423048355328,0.07888371282638,0.002087012000060895,256,0.2278749770430188,0.004475066999930277,1280,6.483702463810914e-13,2.5397805004955325,0.010963819000153308,1280,0.0059238120001054995,1,0.0030366070000127365,3840,0.007268040000099063
6,6.773748228994236e-14,3.694822225952521e-13,2.1316282072803006e-14,0.9299329816284463,22,14.482107664850236,0.056570733065821235,0.002087012000060895,256,0.12273122878100569,0.005442303999984688,1536,5.595524044110789e-13,2.872263511149584,0.013609402000042792,1536,0.0073102700000617915,1,0.002869990999897709,4608,0.007775636000019404
7,6.773748228994236e-14,3.410605131648481e-13,2.1316282072803006e-14,0.9547424246652529,23,12.442735143652605,0.04860443415489299,0.002087012000060895,256,0.05412509802978184,0.006417728999963401,1792,4.3520742565306136e-13,3.0240405144826,0.016384937000111677,1792,0.008743278000110877,1,0.0029077300000608375,5376,0.007839717000024393
8,6.773748228994236e-14,4.547473508864641e-13,1.4210854715202004e-14,0.9263900855544878,24,9.465841583533447,0.036975943685677526,0.002087012000060895,256,0.12753114471898197,0.007339653999906659,2048,8.464340339742193e-13,3.2974877484478773,0.018775071000050048,2048,0.009991855000066607,1,0.0026178949999575707,6144,0.0062655209999320505
9,6.773748228994236e-14,4.547473508864641e-13,3.552713678800501e-14,0.9500180749873541,25,7.7391541440532015,0.030231070875207818,0.002087012000060895,256,0.05460143684780749,0.008350249999921289,2304,6.123990203832363e-13,3.4988850465638834,0.02134639899998092,2304,0.011319114000002628,1,0.0028172089999998207,6912,0.006442861000095945
10,1.2562173523633646e-13,4.547473508864641e-13,4.263256414560601e-14,0.9205258640769609,26,7.676492176421682,0.029986297564147196,0.002087012000060895,256,0.10486824493955532,0.009264429999916501,2560,4.912070750151543e-12,3.507014749522819,0.02371861999995417,2560,0.012630161999936718,1,0.0027259549999598676,7680,0.0062893949999534016
11,1.2562173523633646e-13,5.258016244624741e-13,4.263256414560601e-14,0.9754867358380329,27,7.069859817360591,0.027616639911564808,0.002087012000060895,256,0.026320730294651762,0.010184932999891316,2816,4.3454129183828627e-13,3.589336792580867,0.026177919999895494,2816,0.01392437499987409,1,0.0026690309999821693,8448,0.006633692000036717
12,1.4424572647442346e-13,6.394884621840902e-13,4.263256414560601e-14,0.9560370792663101,28,5.987293836103894,0.023387866547280835,0.002087012000060895,256,0.1290687746702261,0.011131209999916791,3072,2.013278432855259e-12,3.75553791471882,0.028716557999928227,3072,0.015257946999895466,1,0.0027978059999895777,9216,0.007126413999912984
