action_key,composition_key,node_index,normalized_formula
current-nlr-pbe-gw-v1:gw:matdb:000009900,current-nlr-pbe-gw-v1:composition:9744f268cf9148d6f48c473dd0083d67b8ff2131d8582ee4a639a091db33ef03,654,Cd Ga2 O4
current-nlr-pbe-gw-v1:gw:matdb:000010018,current-nlr-pbe-gw-v1:composition:2a3f1a541fc3990b3f0577ab61fc22e506d1abdd1514a2fd218f50a057495259,658,Cd In2 O4
current-nlr-pbe-gw-v1:gw:matdb:000011892,current-nlr-pbe-gw-v1:composition:200c37b94c03a0afdbd7c93c0230e6bc3d516017b374e9e92f8d665d9ef8ca3a,663,Cd Mn2 O4
current-nlr-pbe-gw-v1:gw:matdb:000011004,current-nlr-pbe-gw-v1:composition:2e51526b13ce06c1fb34d6a2f65bd87d80ce86346b173ed90e5a33bfec790c00,675,Cd O4 Sb2
current-nlr-pbe-gw-v1:gw:matdb:000010085,current-nlr-pbe-gw-v1:composition:d34ce30b7a9cc6c5f912e4d12461effb7f2c00667d371945bb88cc0c75cdca63,691,Cd2 O4 Sn
current-nlr-pbe-gw-v1:gw:matdb:000286978,current-nlr-pbe-gw-v1:composition:5a326213be9b6cba8e620bc7c20801a5b85e1127964bfcd201c571b1f117883d,695,Cd3 Cl2 O2
current-nlr-pbe-gw-v1:gw:matdb:000289994,current-nlr-pbe-gw-v1:composition:f5d9c456c6404b3e8859381ea4b5a0c65310e8f8207b3c56a1b3d3d2dbcd06e2,702,Ce Mg O3
current-nlr-pbe-gw-v1:gw:matdb:000289867,current-nlr-pbe-gw-v1:composition:b1479ec6d7ef0d7af2b32be4aba0984a1a0fc36420ea62e4aade03c03f54d5e3,703,Ce O2
current-nlr-pbe-gw-v1:gw:matdb:000290176,current-nlr-pbe-gw-v1:composition:e13982c3d9009c90d2e4612dc36bdef6794951d3b8b4d20cdf40ee9c9322c133,704,Ce O3 Sr
current-nlr-pbe-gw-v1:gw:matdb:000290178,current-nlr-pbe-gw-v1:composition:6b38e4c490d3df652e4c376695845ac78e2e9d138f1464ee640f7082df971695,705,Ce O4 Sr2
current-nlr-pbe-gw-v1:gw:matdb:000289894,current-nlr-pbe-gw-v1:composition:5741f78015c95a8e66ff696129c5be7e62619662563fad8d23eaf3f2630e87a3,706,Ce2 La2 O7
current-nlr-pbe-gw-v1:gw:matdb:000289849,current-nlr-pbe-gw-v1:composition:ac2a6ccbdebd52d0c53f14a9305762f6da0387029fbd5ed13dd9221308376ad1,707,Ce2 O3
current-nlr-pbe-gw-v1:gw:matdb:000286988,current-nlr-pbe-gw-v1:composition:e906dbf95fbd861d46bdbb2239333ad604a628609cba71bc51579f1c1c675f6a,708,Cl In O
current-nlr-pbe-gw-v1:gw:matdb:000289958,current-nlr-pbe-gw-v1:composition:bace706d22c33cedfaeeb0ac34dee033580cb10bf1996090188149b6ca75e26e,709,Cl Li3 O
current-nlr-pbe-gw-v1:gw:matdb:000290106,current-nlr-pbe-gw-v1:composition:88467e1077156c34db2b1b418028de1715e5644916dcf99900ba10a7a12883ad,710,Cl Na3 O
current-nlr-pbe-gw-v1:gw:matdb:000011744,current-nlr-pbe-gw-v1:composition:27da5ac79a0bc52eb148d6dc0f4af2dc351cb4a16c185bed68cd16a05e4f2e8c,712,Co Cr2 O4
current-nlr-pbe-gw-v1:gw:matdb:000011596,current-nlr-pbe-gw-v1:composition:2e7a74218960ad8f281338db47363ffe9337e8cce8339b618630ae99b8fc372d,716,Co Fe2 O4
current-nlr-pbe-gw-v1:gw:matdb:000010320,current-nlr-pbe-gw-v1:composition:26e620c9df6375349421aba763591551b1851f72bef17afcbbb1c550bfe200fb,717,Co Ga2 O4
current-nlr-pbe-gw-v1:gw:matdb:000010421,current-nlr-pbe-gw-v1:composition:b2a547348bdee31ae0509d32cd341a31cdc15e4dc50fabfba6360d198cf61ceb,720,Co In2 O4
current-nlr-pbe-gw-v1:gw:matdb:000011455,current-nlr-pbe-gw-v1:composition:93fc348e1dfe7f5023ae208be1b6652ac876c1734d84af8669cd57c591692c0e,730,Co Li O2
current-nlr-pbe-gw-v1:gw:matdb:000011269,current-nlr-pbe-gw-v1:composition:cc03880303e4d6164d01b8f157ff95d1d5f4ac63807ce8ea13723bb9eb6b122a,745,Co Ni O4 Sn
current-nlr-pbe-gw-v1:gw:matdb:000011024,current-nlr-pbe-gw-v1:composition:d9370cdc9701ddebc40908ade300ef0b1b82e19b20257a299c2a519823ad97da,746,Co O
current-nlr-pbe-gw-v1:gw:matdb:000012255,current-nlr-pbe-gw-v1:composition:5e10c7b001b2628ed97a087604278ff93a88b1a723b05637b6a986e2f941d5f9,761,Co2 Cu O4
current-nlr-pbe-gw-v1:gw:matdb:000010113,current-nlr-pbe-gw-v1:composition:8835f014a0784ca4299ca953a6aa515f2c4ec943fb72f2949e5f4ef6405256ed,768,Co2 Mg O4
current-nlr-pbe-gw-v1:gw:matdb:000009677,current-nlr-pbe-gw-v1:composition:3d77b7404a022890db7e958c049df033ead24f07421037f19e8f4b984d31e20c,781,Co2 O4 Zn
current-nlr-pbe-gw-v1:gw:matdb:000010126,current-nlr-pbe-gw-v1:composition:8fb4e424596e12e84ae5077700dffd966b3ba2868c75d19d3fe53ff4aa9b3451,789,Co3 O4
current-nlr-pbe-gw-v1:gw:matdb:000010806,current-nlr-pbe-gw-v1:composition:23dae1a0b26ebe02c60201c9521e57481521b5be8569d95d008d076bef4ed436,797,Cr Cu O2
current-nlr-pbe-gw-v1:gw:matdb:000011426,current-nlr-pbe-gw-v1:composition:19d80399e9537940686106341cb2549e08a566be021a567c76884a301df7139f,816,Cr Li O2
current-nlr-pbe-gw-v1:gw:matdb:000012300,current-nlr-pbe-gw-v1:composition:0b94e76aa884cb1721d9ca69613a4184b1ca50f21d41e2a6aa1c7b9d4a212d34,841,Cr2 Cu O4
current-nlr-pbe-gw-v1:gw:matdb:000009700,current-nlr-pbe-gw-v1:composition:63398fda16887e832d9c742d4301da19ac23815f828ae08d633d6815c8ca451a,853,Cr2 Mg O4
current-nlr-pbe-gw-v1:gw:matdb:000010152,current-nlr-pbe-gw-v1:composition:3a6f16f15cfe05c00e0e4858a0ff8d4bc45dfeeea1f75644a3d33d58867b89dd,855,Cr2 Mn O4
current-nlr-pbe-gw-v1:gw:matdb:000012367,current-nlr-pbe-gw-v1:composition:30ff1092b71608599e3821d185496cef81424627ef43b49d7cb90c7eeeaef869,861,Cr2 Ni O4
current-nlr-pbe-gw-v1:gw:matdb:000010163,current-nlr-pbe-gw-v1:composition:14d099e47ad18278b65ff2ff1de6f0c5529ad08e95358e562e956ade0f63d887,863,Cr2 O3
current-nlr-pbe-gw-v1:gw:matdb:000009737,current-nlr-pbe-gw-v1:composition:e7871bcca8853801aac75ab3bb073a7f84c8891cd29eedfabc68105654c49d85,866,Cr2 O4 Zn
current-nlr-pbe-gw-v1:gw:matdb:000012050,current-nlr-pbe-gw-v1:composition:1562483fbca6e3f758dbf40f9c004b1b01656af2f8f7bcbba1506bf847e2b1ab,884,Cu Fe O2
current-nlr-pbe-gw-v1:gw:matdb:000010188,current-nlr-pbe-gw-v1:composition:5eab7424f98d1f6c970a7bd477418be6dca168d7038052bae51d765d2223f37f,885,Cu Ga O2
current-nlr-pbe-gw-v1:gw:matdb:000009916,current-nlr-pbe-gw-v1:composition:0669176192869438017ecacf659cca193a2b4a74d2b958818435ec0d352d32ef,886,Cu Ga2 O4
current-nlr-pbe-gw-v1:gw:matdb:000009772,current-nlr-pbe-gw-v1:composition:013b2f365e173f61de380a2ab9cc316f47d427186d77e3816fa2e8f0446d7854,889,Cu In O2
current-nlr-pbe-gw-v1:gw:matdb:000010033,current-nlr-pbe-gw-v1:composition:f402332060ff87ffe8c2252fac44647f2f09752f8a2338d50f17b151f3c1474a,890,Cu In2 O4
current-nlr-pbe-gw-v1:gw:matdb:000012095,current-nlr-pbe-gw-v1:composition:05bf42098602ca51710b0a0caa06f5bf437b7b3297f9b10cff7bd5a8746bc361,894,Cu K O
current-nlr-pbe-gw-v1:gw:matdb:000289909,current-nlr-pbe-gw-v1:composition:ff90d32ab3e0dd95face9e6043204bc3259275d656893b5ce21cbc2ed759982a,901,Cu La2 O4
current-nlr-pbe-gw-v1:gw:matdb:000012289,current-nlr-pbe-gw-v1:composition:3d96862037347b8da76c0e5dd752aa1a8dff0009bc4b433f857d08a953a01f10,904,Cu Mn O2
current-nlr-pbe-gw-v1:gw:matdb:000011879,current-nlr-pbe-gw-v1:composition:25e96d1a1cc7fc5491c78601167b3bc7b37be33a40a23913d1e38e61ee50c720,910,Cu Na O
