autodiff_envelope_max_abs,beta,conditional_ess_from_beta0,count,entropy_effective_fraction,ess_fraction,finite_difference_max_abs,largest_shift_coordinates,largest_standardized_mean_shifts,mass_count_50,mass_count_90,mass_count_99,maximum_weight,point,seed,torch_gradient_max_abs,torch_value_abs
1.4432899320127035e-15,1.0,0.7621007217106718,16,0.8458929822717035,0.7621007217106719,9.919282929760093e-10,"[11, 2, 8, 3, 1]","[0.4140193930279495, 0.23713587435499, 0.2209607693481173, 0.20355281303963163, 0.2029626455349351]",76,183,239,0.011808236905118676,teacher,1,1.7763568394002505e-15,0.0
6.661338147750939e-16,0.0,0.9999999999999998,16,1.0000000000000007,0.9999999999999998,9.502734155120152e-10,"[7, 4, 11, 9, 3]","[1.4193526930000591e-15, 1.2885885305565137e-15, 1.185604649842365e-15, 1.0607933502019944e-15, 1.0369609086546039e-15]",128,231,254,0.003906250000000001,midpoint,1,8.659739592076221e-15,2.220446049250313e-15
1.3322676295501878e-15,0.25,0.9781896123717535,16,0.9885818693786185,0.9781896123717535,5.499427579991334e-10,"[11, 0, 8, 5, 6]","[0.08455906864096446, 0.04906332264526006, 0.03724157080482114, 0.03442760611253499, 0.030728414853491173]",114,222,252,0.006017251943252855,midpoint,1,3.9968028886505635e-15,0.0
6.439293542825908e-15,0.5,0.9239076437927933,16,0.95850408135699,0.9239076437927933,5.419846793586203e-10,"[11, 0, 8, 5, 6]","[0.16374959717543816, 0.09721710618690624, 0.07022476811907644, 0.06870416760719324, 0.05674402348835804]",101,212,250,0.009066912062390116,midpoint,1,2.4424906541753444e-15,1.7763568394002505e-15
1.0547118733938987e-15,0.75,0.8487803777546269,16,0.9150206448831808,0.8487803777546268,3.59552942974517e-10,"[11, 0, 5, 8, 1]","[0.237457892138681, 0.1436704410268796, 0.1022888201433105, 0.09763455752765487, 0.08764010702745895]",90,201,246,0.013396631952134959,midpoint,1,3.6637359812630166e-15,1.1102230246251565e-15
5.329070518200751e-15,1.0,0.7585119011524445,16,0.8618588905031959,0.7585119011524445,3.49149598122267e-10,"[11, 0, 5, 1, 8]","[0.30603600987189794, 0.18811284450321877, 0.13510003964161493, 0.12526417639378584, 0.11855470026563869]",79,190,243,0.019444077024013844,midpoint,1,4.884981308350689e-15,1.7763568394002505e-15
1.1546319456101628e-13,0.0,0.9999999999999998,40,1.0000000000000007,0.9999999999999998,8.069493340201461e-08,"[8, 9, 7, 11, 3]","[5.403220836221536e-15, 4.2027621466713715e-15, 3.913003218548763e-15, 3.8352173189504866e-15, 3.2106607881640787e-15]",128,231,254,0.003906250000000001,map,1,6.252776074688882e-13,1.7275070263167436e-13
2.1316282072803006e-14,0.25,0.9991070744046852,40,0.9995566074239647,0.9991070744046849,8.077424951125067e-08,"[8, 4, 2, 9, 5]","[0.020185764413691354, 0.016160811447078604, 0.016007950571015714, 0.01564791505812246, 0.015420596985915651]",126,230,254,0.004319613264413443,map,1,7.389644451905042e-13,1.6342482922482304e-13
2.5224267119483557e-13,0.5,0.9963564735132917,40,0.9982022387839957,0.9963564735132917,8.046993471566566e-08,"[8, 4, 2, 9, 5]","[0.04064417877832455, 0.032548237282652166, 0.032243827710570556, 0.03149943398918396, 0.03101374509972919]",123,229,254,0.004772453786355339,map,1,6.110667527536862e-13,1.616484723854228e-13
5.222489107836736e-13,0.75,0.9916468293265354,40,0.9959020536478327,0.9916468293265354,8.039638998980081e-08,"[8, 4, 2, 9, 5]","[0.06137401380542297, 0.049160320940649614, 0.04870668484225213, 0.04755848537250405, 0.04677440717951475]",120,227,254,0.0052679580802870276,map,1,9.094947017729282e-13,1.5631940186722204e-13
5.755396159656812e-13,1.0,0.9848878643159816,40,0.9926235185881644,0.9848878643159816,8.030409048842557e-08,"[8, 4, 2, 9, 5]","[0.08237343232662056, 0.06599450200911501, 0.06539493727660643, 0.06382878130907628, 0.06269682190048588]",116,226,253,0.00580949223306359,map,1,1.1937117960769683e-12,1.5010215292932116e-13
3.552713678800501e-13,0.0,0.9999999999999998,40,1.0000000000000007,0.9999999999999998,8.991469968577803e-08,"[8, 9, 7, 11, 3]","[5.403220836221536e-15, 4.2027621466713715e-15, 3.913003218548763e-15, 3.8352173189504866e-15, 3.2106607881640787e-15]",128,231,254,0.003906250000000001,teacher,1,7.531752999057062e-13,2.3314683517128287e-13
2.6645352591003757e-13,0.25,0.9978696690175349,40,0.9989456655191177,0.9978696690175347,8.935999673553852e-08,"[8, 2, 3, 5, 9]","[0.03185408594963776, 0.02932567601217433, 0.02785542583920823, 0.025362492835378083, 0.0252037722684438]",124,229,254,0.004606914307769699,teacher,1,5.400124791776761e-13,2.2026824808563106e-13
1.3855583347321954e-13,0.5,0.9912293390220543,40,0.9956981321507458,0.9912293390220543,8.737140078096672e-08,"[8, 2, 3, 5, 9]","[0.06407570852661575, 0.05930550435960654, 0.05616368381969597, 0.05095569448987434, 0.050826562575894886]",119,227,253,0.005421682181086388,teacher,1,5.186961971048731e-13,2.042810365310288e-13
2.1671553440683056e-13,0.75,0.9797442221490558,40,0.9901389847747931,0.979744222149056,8.655297278892249e-08,"[8, 2, 3, 9, 5]","[0.09664897549081408, 0.08995185567301646, 0.08491319819801095, 0.07688054783629047, 0.07675750116974016]",114,225,253,0.006366513841847452,teacher,1,4.760636329592671e-13,1.907363156306019e-13
3.979039320256561e-13,1.0,0.9631543151143721,40,0.9821641804806299,0.9631543151143721,8.53303561143548e-08,"[8, 2, 3, 9, 5]","[0.12955504567823384, 0.1212746267686352, 0.11408857552039407, 0.10337592968076935, 0.10274212268776793]",110,223,253,0.0074590277814048644,teacher,1,4.902744876744691e-13,1.7763568394002505e-13
