absolute_regret,acquisition_signature_entropy_rank,active_log_lengthscale_w1,budget,count,design_attempts,design_cache_builds,diagnostic_factorizations,distance_to_teacher,elapsed_seconds,factorization_equivalents,factorization_equivalents_per_particle,final_beta,final_x,inactive_log_lengthscale_w1,max_log_lengthscale_w1,mean_log_lengthscale_w1,method,normalized_regret,particles,post_initialization_elapsed_seconds,post_initialization_factorizations_per_particle,posterior_mmd,repeat,seed,shared_initialization_elapsed_seconds,structural_steps,teacher_ei_at_method,teacher_optimum_ei,teacher_reference_strengthened
0.23385338318722027,1.5151862044150528,0.5896643445282389,32,16,32,8,32,1.7895582905046146,26.09461364899994,1792,56,0.0,"[1.0, 0.0, 0.04147503014001783, 0.44718297462188, 1.0, 0.21833394636897901, 0.0, 0.050078866079024585, 0.43646633869620977, 0.44518746379919977]",1.3759311323240468,1.6088326197279101,1.2186777747648854,posterior,0.3881875292234297,32,5.891419270999904,40,0.6107657569440883,1,0,20.203194378000035,32,0.368570356841329,0.6024237400285493,False
0.2667923701964385,1.4535139014690257,0.5946774325681913,32,16,32,8,32,2.010672281113246,35.13076304399988,1792,56,1.0,"[0.997709702854869, 0.0, 0.11008079318962913, 1.0, 0.9171169338491326, 0.33558514418866603, 0.0, 0.13727283112032654, 0.8959985027620011, 0.5395001920828787]",1.378330722661449,1.6065951137478225,1.2216000646427976,decision,0.4428649677447888,32,14.927568665999843,40,0.6087232871778695,1,0,20.203194378000035,32,0.3356313698321108,0.6024237400285493,False
0.2293091049788179,1.6497743453657059,0.5665104481502992,32,16,32,8,32,1.8846975742047734,26.217260457999828,1792,56,0.0,"[1.0, 0.0, 0.0, 0.43014835569697935, 1.0, 0.21775418028693802, 0.0, 0.03248889203588316, 0.8208367702852587, 0.44324909447165245]",1.3451535333289846,1.62429217094257,1.1894249162932478,posterior,0.380644203975014,32,5.928227550999964,40,0.5926470556865633,2,0,20.289032906999864,32,0.37311463504973136,0.6024237400285493,False
0.2710452697735694,1.5491962446810372,0.5836843148795636,32,16,32,8,32,1.99533563430791,35.4819259169999,1792,56,1.0,"[0.9929031505324994, 0.0, 0.12246996618324206, 0.9852961641386746, 0.9083217559420061, 0.34344433386041856, 0.0, 0.14562447008028118, 0.8877005065333315, 0.5563836849885625]",1.3572918704871957,1.6370842093007687,1.2025703593656691,decision,0.4499246157874263,32,15.192893010000034,40,0.5946246321110047,2,0,20.289032906999864,32,0.33137847025497985,0.6024237400285493,False
0.18627503675731844,1.8040632795038356,0.5375744041613453,64,16,64,16,32,2.1793255214288374,45.05359791000001,3072,96,0.0,"[1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.1476375712783188]",1.2430225211837134,1.4811587468988194,1.1019328977792398,posterior,0.3092093229069803,32,9.50917679500003,80,0.583727713425786,0,0,35.54442111499998,64,0.4161487032712308,0.6024237400285493,False
0.26799086773968606,1.6400482655871185,0.5481240590939588,64,16,64,16,32,2.099315950121481,60.936351150000064,3072,96,1.0,"[0.7796712882751041, 0.0, 0.049646522060339954, 1.0, 1.0, 0.27389127021586357, 0.0, 0.044833321580830435, 0.9871503745311141, 0.40511494121750447]",1.246207438514285,1.4785900054811734,1.1065907626302196,decision,0.4448544270964252,32,25.391930035000087,80,0.580313234901296,0,0,35.54442111499998,64,0.3344328722888632,0.6024237400285493,False
0.1846295170720269,1.565250174070667,0.6331803220008189,64,16,64,16,32,1.7780059775082708,29.794837972000096,3072,96,0.0,"[1.0, 0.0, 0.11162050053670503, 0.1660950724801759, 1.0, 0.0, 0.0, 0.0, 0.5282539099960932, 0.22871020420185073]",1.4020942407371826,1.6183870708439965,1.2483114569899096,posterior,0.30647782416954084,32,9.591643594000061,80,0.635916164430476,1,0,20.203194378000035,64,0.41779422295652235,0.6024237400285493,False
0.2523991548705695,1.4751743219618274,0.6341090182973074,64,16,64,16,32,2.0942353499865343,45.18384967299994,3072,96,1.0,"[0.8625840280267267, 0.0, 0.026793893568277136, 1.0, 1.0, 0.26162829567790197, 0.0, 0.048684076965050296, 0.9741402504734364, 0.37668418821272537]",1.3993987444826255,1.6050055326084525,1.2463407992455617,decision,0.4189727895826419,32,24.980655294999906,80,0.6304925687009397,1,0,20.203194378000035,64,0.35002458515797974,0.6024237400285493,False
0.16894520914233385,1.9260578978485434,0.5232913145893672,64,16,64,16,32,1.9363166948613162,29.68443877999971,3072,96,0.0,"[1.0, 0.0, 0.0, 0.040573933093295114, 1.0, 0.0, 0.0, 0.0, 1.0, 0.14146809836100963]",1.2575468593786272,1.5110915350196206,1.1106957504207753,posterior,0.28044248245317727,32,9.395405872999845,80,0.5761740951773957,2,0,20.289032906999864,64,0.4334785308862154,0.6024237400285493,False
0.2608534301263068,1.7633586281239413,0.5298498006386716,64,16,64,16,32,2.1022666468802327,46.47480091500006,3072,96,1.0,"[0.8226434212882103, 0.0, 0.04266954581670707, 1.0, 1.0, 0.25471064109672836, 0.0, 0.04364353526978498, 0.9825108147505521, 0.4075050426052005]",1.264607573931299,1.5147406186081491,1.1176560192727734,decision,0.43300655799843607,32,26.185768008000196,80,0.5744132855358783,2,0,20.289032906999864,64,0.34157030990224246,0.6024237400285493,False
0.06874935541983801,,,0,40,,,,1.6053582575961738,,,,,"[0.9743532934115798, 0.1521104346151907, 0.0, 1.0, 0.0, 1.0, 0.11022308219709548, 0.735683810821973, 1.0, 1.0]",,,,map,0.37526712284768404,1,,,,0,0,,,0.1144517598234562,0.18320111524329422,
