absolute_decision_regret,approximate_index,budget,count,exact_index_agreement,max_absolute_error,method,normalized_decision_regret,normalized_max_error,regret_bound_pass,regret_bound_slack,repetition,retained,rmse,seed,spearman,teacher_index,top5_overlap,twice_delta
0.04523836112295093,1229,16,16,False,0.18612417796787797,random_equal,0.10472212921620097,0.4308582303067276,True,0.327009994812805,17,16,0.02933306334361527,0,0.9534017844785534,365,0.7475728155339806,0.37224835593575595
0.055429145828410575,1205,16,16,False,0.09087983741490682,random_equal,0.12831274227663306,0.21037742837423104,True,0.12633052900140307,18,16,0.022480138548581906,0,0.9370657558448925,365,0.8446601941747572,0.18175967482981364
0.039557912166880926,845,16,16,False,0.10894894035875657,random_equal,0.09157247713294281,0.25220553368874205,True,0.17833996855063222,19,16,0.022351235727085975,0,0.9591438617006212,365,0.8737864077669902,0.21789788071751315
0.055429145828410575,1205,16,16,False,0.07941492729852478,random_equal,0.12831274227663306,0.18383734670777188,True,0.103400708768639,20,16,0.01961866028835016,0,0.9384316655234493,365,0.8932038834951457,0.15882985459704957
0.04523836112295093,1229,16,16,False,0.13934654094546592,random_equal,0.10472212921620097,0.32257283651503404,True,0.2334547207679809,21,16,0.028281367084898826,0,0.9606047467466585,365,0.8932038834951457,0.27869308189093184
0.03970495554057252,725,16,16,False,0.06997869557886588,random_equal,0.09191286734155946,0.161993445803086,True,0.10025243561715924,22,16,0.012396780416591993,0,0.9778392359864383,365,0.8932038834951457,0.13995739115773176
0.04523836112295093,1229,16,16,False,0.10291924880594278,random_equal,0.10472212921620097,0.23824742109904323,True,0.16060013648893462,23,16,0.019859028446623017,0,0.9598292961868458,365,0.8640776699029126,0.20583849761188555
0.011620062556325528,1565,16,16,False,0.16673916730719696,random_equal,0.02689924352512624,0.3859839346675037,True,0.3218582720580684,24,16,0.02144124452814308,0,0.974888555306448,365,0.8737864077669902,0.3334783346143939
0.03970495554057252,725,16,16,False,0.08956002689632714,random_equal,0.09191286734155946,0.20732220346694583,True,0.13941509825208176,25,16,0.018242272562700085,0,0.9509974643172241,365,0.8252427184466019,0.17912005379265428
0.03611267730853912,277,16,16,False,0.10051024658519914,random_equal,0.08359711460743371,0.2326708300028896,True,0.16490781586185915,26,16,0.024211045064788057,0,0.9616740431529984,365,0.941747572815534,0.20102049317039827
0.03611267730853912,277,16,16,False,0.08059713411658503,random_equal,0.08359711460743371,0.18657403327395186,True,0.12508159092463095,27,16,0.020557099281942874,0,0.9457300166663568,365,0.8640776699029126,0.16119426823317007
0.0,365,16,16,True,0.0755329886433393,random_equal,0.0,0.1748510600394103,True,0.1510659772866786,28,16,0.015352508505239778,0,0.9578185735284861,365,0.883495145631068,0.1510659772866786
0.03625282004818836,1909,16,16,False,0.14146767802690585,random_equal,0.08392153056163623,0.32748304957346275,True,0.24668253600562334,29,16,0.027440559888842614,0,0.934116226279879,365,0.6990291262135923,0.2829353560538117
0.03625282004818836,1909,16,16,False,0.0791788257591869,random_equal,0.08392153056163623,0.18329079605259924,True,0.12210483147018544,30,16,0.01971968968992109,0,0.9218092425569577,365,0.8932038834951457,0.1583576515183738
0.03970495554057252,725,16,16,False,0.09809932965961454,random_equal,0.09191286734155946,0.22708980656297312,True,0.15649370377865657,31,16,0.019999415694794312,0,0.9661533584215305,365,0.8058252427184466,0.19619865931922909
0.0,365,16,16,True,0.12174538796850337,posterior_medoid,0.0,0.2818279869967684,True,0.24349077593700674,0,16,0.02814271629660914,0,0.9568691774816341,365,0.8932038834951457,0.24349077593700674
