state_seed,candidate_index,rank,quality,log_ei,ei,log_feasibility,feasibility,log_constrained_ei,constrained_ei,d2,chi_square,ess_fraction,top_1_percent,top_5_percent,top_32,truth_feasible,x0_unit,x0_raw,x1_unit,x1_raw,x2_unit,x2_raw,x3_unit,x3_raw
4102,3291,1620,0.0,-2034.6896653505157,0.0,-2267.716596258155,0.0,-4302.40626160867,0.0,4298.875181148262,1.0142320547350045e+304,0.0,False,False,False,False,0.21920554339885712,2.289654741063714,0.9317965507507324,9.324785852432251,0.2419714629650116,2.495517483353615,0.30069878697395325,3.076917991042137
4102,3292,1913,0.0,-14.968388912322911,3.157266869519967e-07,-6604.527406090325,0.0,-6619.495795002647,0.0,6619.52792377804,1.0142320547350045e+304,0.0,False,False,False,False,0.009192864410579205,0.21577953605446965,0.24077175557613373,2.483640380203724,0.4406278133392334,4.4622153520584105,0.46600058674812317,4.713405808806419
4102,3293,6508,0.0,-84886.6756061202,0.0,-45943.72177340234,0.0,-130830.39737952255,0.0,130825.61247936226,1.0142320547350045e+304,0.0,False,False,False,False,0.8441560864448547,8.46104135364294,0.8010622262954712,8.030516040325166,0.7223118543624878,7.250887358188629,0.9772983193397522,9.775253361463546
4102,3294,12339,0.0,-16195.804786111124,0.0,-1301548.2722293383,0.0,-1317744.0770154495,0.0,1317739.218108402,1.0142320547350045e+304,0.0,False,False,False,False,0.5636098384857178,5.690647155046463,0.3473186790943146,3.5384549230337146,0.04099077358841896,0.5058086585253477,0.22644707560539246,2.3418260484933855
4102,3295,9259,0.0,-27669.821497567267,0.0,-349587.3461512187,0.0,-377257.167648786,0.0,377251.6825989317,1.0142320547350045e+304,0.0,False,False,False,False,0.28918972611427307,2.9807485453784466,0.6576041579246521,6.610281163454055,0.7592130303382874,7.616209000349045,0.7051318883895874,7.080805695056915
4102,3296,8994,0.0,-6347.537199940856,0.0,-338326.582486841,0.0,-344674.1196867819,0.0,344669.46217155433,1.0142320547350045e+304,0.0,False,False,False,False,0.3116849958896637,3.202889334410429,0.1964702159166336,2.0450551375746726,0.6373959183692932,6.410219591856003,0.8273183107376099,8.290451276302338
4102,3297,11855,0.0,-89664.28901871401,0.0,-1003985.1922604216,0.0,-1093649.4812791357,0.0,1093643.800240967,1.0142320547350045e+304,0.0,False,False,False,False,0.5841444134712219,5.8934260830283165,0.761634886264801,7.64018537402153,0.418120801448822,4.239395934343338,0.36988502740859985,3.7618617713451385
4102,3298,12248,0.0,-282940.9218825683,0.0,-994110.6575320077,0.0,-1277051.5794145758,0.0,1277044.824047203,1.0142320547350045e+304,0.0,False,False,False,False,0.8665826320648193,8.682503491640091,0.3398595154285431,3.4646092027425768,0.850078821182251,8.515780329704285,0.6151217818260193,6.189705640077591
4102,3299,975,0.0,1.3936417668228462,4.0294978564694315,-844.6046042570232,0.0,-843.2109624902004,0.0,844.9885245751012,1.0142320547350045e+304,0.0,False,False,False,False,0.02967396005988121,0.41803035559132695,0.6550344228744507,6.584840786457062,0.06926453858613968,0.7857189320027829,0.06255291402339935,0.7192738488316536
4102,3300,5835,0.0,-4258.967952373173,0.0,-94766.68762121702,0.0,-99025.6555735902,0.0,99020.83995264908,1.0142320547350045e+304,0.0,False,False,False,False,0.24168553948402405,2.5116447024047375,0.4554648995399475,4.60910250544548,0.3614272177219391,3.678129455447197,0.17068861424922943,1.7898172810673716
