dimension,median_inverse_lengthscale,method,n,regime,seed
1,0.46742621170707305,B0-NUTS,32,W,0
2,0.4792513170164137,B0-NUTS,32,W,0
3,0.5398355464660067,B0-NUTS,32,W,0
4,0.5312843808189229,B0-NUTS,32,W,0
5,0.5298791861351793,B0-NUTS,32,W,0
6,0.5074348562795862,B0-NUTS,32,W,0
7,0.5035664709776495,B0-NUTS,32,W,0
8,0.6833251290733212,B0-NUTS,32,W,0
9,0.49612855978815,B0-NUTS,32,W,0
10,0.5721363092179618,B0-NUTS,32,W,0
11,0.43124552500191904,B0-NUTS,32,W,0
12,0.5270869793408497,B0-NUTS,32,W,0
13,0.5063018087700251,B0-NUTS,32,W,0
14,0.6717409376553566,B0-NUTS,32,W,0
15,0.6031951997238698,B0-NUTS,32,W,0
16,0.569914404871332,B0-NUTS,32,W,0
17,0.4857733418015361,B0-NUTS,32,W,0
18,0.4860283147168278,B0-NUTS,32,W,0
19,0.464293698952019,B0-NUTS,32,W,0
0,4.40831014288941,B1,64,W,0
1,4.617180443014329,B1,64,W,0
2,9.999999999999991e-05,B1,64,W,0
3,9.999999999999991e-05,B1,64,W,0
4,0.00011559939341574654,B1,64,W,0
5,9.999999999999991e-05,B1,64,W,0
6,9.999999999999991e-05,B1,64,W,0
7,0.0006442464891417398,B1,64,W,0
8,9.999999999999991e-05,B1,64,W,0
9,9.999999999999991e-05,B1,64,W,0
10,9.999999999999991e-05,B1,64,W,0
11,9.999999999999991e-05,B1,64,W,0
12,9.999999999999991e-05,B1,64,W,0
13,0.32844407188070224,B1,64,W,0
14,0.0001000000917064599,B1,64,W,0
15,0.0002146602476170084,B1,64,W,0
16,9.999999999999991e-05,B1,64,W,0
17,9.999999999999991e-05,B1,64,W,0
18,9.999999999999991e-05,B1,64,W,0
19,9.999999999999991e-05,B1,64,W,0
0,4.622648251953403,B0-NUTS,64,W,0
1,4.426632984272003,B0-NUTS,64,W,0
2,0.12234759774197074,B0-NUTS,64,W,0
3,0.11781011527693849,B0-NUTS,64,W,0
4,0.1622726673834694,B0-NUTS,64,W,0
5,0.11548989787574412,B0-NUTS,64,W,0
6,0.11004708575909625,B0-NUTS,64,W,0
7,0.12859496039215296,B0-NUTS,64,W,0
8,0.11123587400758796,B0-NUTS,64,W,0
9,0.11854655681359069,B0-NUTS,64,W,0
10,0.11620613667028788,B0-NUTS,64,W,0
11,0.10346285750343145,B0-NUTS,64,W,0
12,0.10264749577946401,B0-NUTS,64,W,0
13,0.14875541307640683,B0-NUTS,64,W,0
14,0.12507339021548725,B0-NUTS,64,W,0
15,0.1199850380819624,B0-NUTS,64,W,0
16,0.1114308799619918,B0-NUTS,64,W,0
17,0.12250483928878815,B0-NUTS,64,W,0
18,0.10264345028783604,B0-NUTS,64,W,0
19,0.11260851243985809,B0-NUTS,64,W,0
0,1.3431684756369107,B1,16,G,1
1,9.999999999999991e-05,B1,16,G,1
2,0.001142747367194134,B1,16,G,1
3,9.999999999999991e-05,B1,16,G,1
4,9.999999999999991e-05,B1,16,G,1
5,0.00010324692383706609,B1,16,G,1
6,9.999999999999991e-05,B1,16,G,1
7,0.00010277197967968287,B1,16,G,1
8,9.999999999999991e-05,B1,16,G,1
9,9.999999999999991e-05,B1,16,G,1
10,1.2489884167208154,B1,16,G,1
11,9.999999999999991e-05,B1,16,G,1
12,9.999999999999991e-05,B1,16,G,1
13,9.999999999999991e-05,B1,16,G,1
14,9.999999999999991e-05,B1,16,G,1
15,0.17144738481012767,B1,16,G,1
16,9.999999999999991e-05,B1,16,G,1
17,0.33025375923999234,B1,16,G,1
18,9.999999999999991e-05,B1,16,G,1
19,9.999999999999991e-05,B1,16,G,1
0,0.6671475793817708,B0-NUTS,16,G,1
1,0.19136064744956668,B0-NUTS,16,G,1
2,0.23382171939211568,B0-NUTS,16,G,1
3,0.233315582766612,B0-NUTS,16,G,1
4,0.20385693192995122,B0-NUTS,16,G,1
5,0.22546418300886334,B0-NUTS,16,G,1
6,0.19203051312761574,B0-NUTS,16,G,1
7,0.23553821244110243,B0-NUTS,16,G,1
8,0.20616820354126744,B0-NUTS,16,G,1
9,0.2475940817296538,B0-NUTS,16,G,1
10,0.3304680925657702,B0-NUTS,16,G,1
11,0.22684824618110094,B0-NUTS,16,G,1
12,0.20505810701430505,B0-NUTS,16,G,1
13,0.22061548466481604,B0-NUTS,16,G,1
14,0.20457669280425125,B0-NUTS,16,G,1
15,0.2362603723968067,B0-NUTS,16,G,1
16,0.19888976818804374,B0-NUTS,16,G,1
17,0.20546219342181526,B0-NUTS,16,G,1
18,0.22347025431740108,B0-NUTS,16,G,1
19,0.19910126756207983,B0-NUTS,16,G,1
0,2.190958456144454,B1,32,G,1
1,0.6455989257260465,B1,32,G,1
2,9.999999999999991e-05,B1,32,G,1
3,0.0001800631118333539,B1,32,G,1
4,0.0002598632274051196,B1,32,G,1
5,0.0001732200135682632,B1,32,G,1
6,9.999999999999991e-05,B1,32,G,1
7,9.999999999999991e-05,B1,32,G,1
8,1.187293561927926,B1,32,G,1
9,9.999999999999991e-05,B1,32,G,1
10,0.5482441594167468,B1,32,G,1
11,0.00015583862161677858,B1,32,G,1
12,0.00020696562784955762,B1,32,G,1
13,1.4808905197073503,B1,32,G,1
14,0.6360693139249993,B1,32,G,1
15,9.999999999999991e-05,B1,32,G,1
16,0.0002940354746503991,B1,32,G,1
17,0.000100014202118364,B1,32,G,1
18,0.0003590639638348506,B1,32,G,1
19,0.001555894422356379,B1,32,G,1
0,1.3256695836128078,B0-NUTS,32,G,1
1,0.30813124059814073,B0-NUTS,32,G,1
2,0.24509875779591458,B0-NUTS,32,G,1
3,0.24015198189342785,B0-NUTS,32,G,1
4,0.310031159583854,B0-NUTS,32,G,1
5,0.2876350920491844,B0-NUTS,32,G,1
6,0.25800907626738323,B0-NUTS,32,G,1
7,0.23141803309381348,B0-NUTS,32,G,1
8,0.4164829723131892,B0-NUTS,32,G,1
9,0.24449441111777984,B0-NUTS,32,G,1
