absolute_decision_regret,active_top2_recall,average_correction_kl,chosen_index,coefficient_norm,ei_seconds,ei_spearman,expected_true_nll,max_ei_abs_error,mean_rmse,method,n,normalization_seconds,normalized_regret,pi_max_abs_error,pit_mean_error,pit_variance_error,prediction_seconds,quantile_10_error,quantile_50_error,quantile_90_error,regime,seed,top5_overlap,true_ei_at_selection,true_ei_optimum,true_to_model_kl,variance_rmse
0.8993457123678789,,,1774,,0.00580689599996731,-0.01550565061726076,2.062343809464757,0.9271362182207529,1.270762542291079,B2-C,16,8.629999683762435e-07,0.9999045485674021,0.5995563836459598,0.0217786892402958,0.01733421555021407,0.015089553000052547,0.04793410798895161,0.04369381438166153,0.03935970834659874,W,0,0.07766990291262135,8.585203134570155e-05,0.8994315643992246,1.3555937057595777,2.617351459161298
0.8685646255626637,,,30,,0.003785547999996197,-0.021386635409719433,2.1426143853239514,1.3048682129244316,1.3101453158309555,B3,16,1.5990001429599943e-06,0.9656817260386248,0.6244267886019339,0.03741268690084121,0.020045898230242984,0.02415196000015385,0.0524754252739265,0.079016272697224,0.041535273514597626,W,0,0.10679611650485436,0.030866938836560897,0.8994315643992246,1.4358642816187723,3.8808719514084498
0.8685646255626637,,,30,,0.004010551999954259,-0.0214083695489505,2.0962202535596846,0.9458696685959734,1.2960778759337186,B4,16,1.4269999155658297e-06,0.9656817260386248,0.6274263156094458,0.0036894809287009167,0.002011156492771629,0.01115736199994899,0.0173269240280097,0.010050369929753389,0.009642679307050872,W,0,0.0970873786407767,0.030866938836560897,0.8994315643992246,1.3894701498545055,2.662286669371656
0.8685646255626637,,0.053852624792256776,30,0.8679033968295133,0.007488462000083018,-0.01767639038618344,2.9908760107735564,0.8909544227095063,1.3148482464144438,E0,16,0.0006254580000586429,0.9656817260386248,0.6331750755277323,0.005086866418250291,0.04634392487561022,0.029048332999991544,0.10717891259047971,0.002692159843965647,0.125945601679481,W,0,0.08737864077669903,0.030866938836560897,0.8994315643992246,2.2841259070683773,0.7453949834301158
0.8993457123678789,,0.08923574151241372,1774,1.088179026863609,0.008650390999946467,-0.01758706539322063,2.919244609156954,0.8909544226922023,1.290954917662778,E1,16,0.0006736309999268997,0.9999045485674021,0.6331750754118042,0.020445694324448982,0.04455161690654462,0.030822489999991376,0.1232330748984396,0.028258053085182144,0.10268883791641004,W,0,0.07766990291262135,8.585203134570155e-05,0.8994315643992246,2.212494505451775,0.7066495152351735
0.8768722929825676,0.0,,1631,,0.0026248920000853104,0.08557867480088437,1.6427255849722882,0.823045002142114,0.9926977999064013,B0-NUTS,16,,0.9749183013921405,0.5294532196146484,0.031825321519549366,0.019148299370869717,0.7575403069999993,0.07876352845378849,0.09975585559473898,0.02774627341707292,W,0,0.22330097087378642,0.022559271416656958,0.8994315643992246,0.935975481267109,1.884433518598679
0.6597783117099598,0.0,,30,,0.0004982959999324521,0.011734247299579968,5.176852548245285,0.9542345417293896,1.4108269654010044,B1,32,0.0006764540000858688,1.0,0.8998450005992742,0.01615313095087817,0.09695946342319318,0.007037345000071582,0.25929822212226605,0.012974110479848311,0.2204430604148545,W,0,0.07766990291262135,0.0,0.6597783117099598,5.029403568170709,0.35895569507768155
0.6597783117099598,,,30,,0.004267544999947859,0.012373513877727685,2.27779234752174,1.1377108200170327,1.4087566612229003,B2-G,32,1.419000000169035e-06,1.0,0.740371612918701,0.017370543716720865,0.039027127781184626,0.011742874999981723,0.11370350232711093,0.01919796519215433,0.08579851467884714,W,0,0.06796116504854369,0.0,0.6597783117099598,2.130343367447164,1.0968218576480515
0.6597783117099598,,,30,,0.004014018999896507,-0.0108740721727123,2.0857321020772246,1.139680653057663,1.4013630017441394,B2-C,32,8.949998573370976e-07,1.0,0.7825337387091673,0.033337715454860306,0.007898456013183994,0.011212250000198765,0.044017493465620755,0.045023666539057317,0.0077372584625236,W,0,0.05825242718446602,0.0,0.6597783117099598,1.9382831220026486,1.4905193578812848
0.6597783117099598,,,30,,0.003755940000019109,0.012372444850232709,2.2782370879279696,1.1477018463929636,1.4091063230010161,B3,32,1.1460001587693114e-06,1.0,0.7435638816839873,0.019533597420623827,0.03901022830217342,0.019774890000007872,0.11657181507155881,0.020847304383509013,0.08421428869641234,W,0,0.06796116504854369,0.0,0.6597783117099598,2.1307881078533937,1.0967213996419056
