B2-C_charged_fit_seconds,B2-C_fit_seconds,B2-G_charged_fit_seconds,B2-G_fit_seconds,B3_charged_fit_seconds,B3_fit_seconds,B4_charged_fit_seconds,B4_fit_seconds,E0_charged_fit_seconds,E0_fit_seconds,E1_charged_fit_seconds,E1_fit_seconds,analytic_loo_seconds,crossfit_forward_evaluations,crossfit_optimizer_iterations,crossfit_pit_mean,crossfit_pit_std,crossfit_seconds,final_reference_seconds,loo_pit_mean,loo_pit_std,map_device,map_forward_evaluations,map_optimizer_callbacks,map_optimizer_iterations,map_retries,n,nuts_seconds,peak_torch_cuda_bytes,pit_clamps,prediction_device,regime,seed
19.448194775000275,0.016565850999995746,19.441583044000254,0.009954119999974864,19.466218702000106,0.034589777999826765,19.516640385000073,0.08501146099979451,19.49892294900019,0.06729402499991011,19.51940493100028,0.08777600700000221,0.0049555230000351,0,276,0.1113086738828633,1.329569862648449,15.109632323000142,4.321996601000137,0.004681997579420189,0.9414082589164195,cpu,0,335,84,0,64,14.410872269000038,1276479488,0,cuda,G,3
16.932466621000003,0.01724149300002864,16.92767182500006,0.012446697000086715,16.94786746600016,0.03264233800018701,16.992033139999876,0.07680801199990128,16.938921201000085,0.02369607300011012,16.942397583,0.027172455000027185,0.002699907999840434,0,306,-1.1451256726429158,3.759498003031148,14.356329048999896,2.5588960790000783,0.010703558827145784,0.7980500893297796,cpu,0,314,79,0,16,13.016651278000154,1277574656,1,cuda,W,3
19.997401207000166,0.01625182800012226,19.990591225000117,0.009441846000072474,20.013100342000143,0.031950963000099364,20.03892579100011,0.05777641200006656,20.00486726300005,0.02371788400000696,20.01700360199993,0.0358542229998875,0.010751657000128034,0,277,-0.23339355481680973,2.2256723889249264,14.647821878000059,5.333327500999985,0.03768669632488576,0.7281938593014137,cpu,0,306,77,0,32,15.68631021300007,1279803904,1,cuda,W,3
25.30160624799987,0.014020974000004571,25.301757898999995,0.014172625000128392,25.322244076999823,0.034658802999956606,25.36554370099975,0.07795842699988498,25.415187753999817,0.12760247999995045,25.322636945999875,0.03505167200000869,0.0031196469999486,0,303,0.08591357659550208,1.6380379046878015,20.380675999000005,4.906909274999862,0.022103132443642124,0.9423693329536785,cpu,0,244,61,0,64,14.921002978999923,1284448768,0,cuda,W,3
11.7289532960001,0.010826683999994202,11.727971427000284,0.009844815000178642,11.737399717000017,0.019273104999911084,11.75852731000009,0.040400697999984914,11.73456060300009,0.016433990999985326,11.74043035600016,0.022303744000055303,0.0029443809999065707,0,253,-0.05149621577388591,2.0234263687834817,9.804344838000134,1.9137817739999718,-0.07384202667010704,0.8264352812860829,cpu,0,299,75,0,16,13.660606188999964,1285543936,0,cuda,G,4
20.434758781000028,0.016149859000051947,20.429641100000254,0.011032178000277781,20.449878772000147,0.03126985000017157,20.624201180999762,0.20559225899978628,20.442312007000282,0.0237030850003066,20.451903770999934,0.03329484899995805,0.0027169019999746524,0,263,-0.08848752703625903,2.0917332302262475,16.378306078999913,4.040302843000063,0.0007595015298138483,0.7623998311914204,cpu,0,469,118,0,32,13.625702503999946,1288276992,1,cuda,G,4
24.127289853999628,0.017757180999979028,24.119798481999624,0.010265808999974979,24.143292172999736,0.03375950000008743,24.18793956099944,0.07840688799979034,24.235770004999722,0.12623733200007337,24.144532881999567,0.03500020899991796,0.00430046500014214,0,359,-0.21897536975593185,1.4441168533955397,19.740147139999863,4.369385532999786,-0.041200731732147985,0.8769980512633945,cpu,0,392,98,0,64,15.215762178000205,1292971008,0,cuda,G,4
14.70645950800008,0.013093872999888845,14.701781889999893,0.008416254999701778,14.713771190000443,0.020405555000252207,14.730291010000201,0.03692537500000981,14.711767404000057,0.018401768999865453,14.71442273699995,0.021057101999758743,0.0026007169999502366,0,315,0.11963273535123825,2.239965122227326,12.459259620000012,2.2341060150001795,-0.0550628327087358,0.8194623809695266,cpu,0,263,66,0,16,13.952886449999824,1294066176,0,cuda,W,4
23.233652266000263,0.013862717999927554,23.22834547499997,0.008555926999633812,23.24521887000037,0.025429322000036336,23.261820279000403,0.042030731000068045,23.240520249000383,0.020730701000047702,23.250755534000746,0.03096598600041034,0.004668060999847512,0,305,0.05229963342333234,1.4562636754899865,19.913977847000297,3.3058117010000387,-0.0023476564846302422,0.737321006025305,cpu,0,346,87,0,32,14.774055966000105,1296295424,0,cuda,W,4
24.08270180999989,0.01667936500007272,24.077601121999578,0.011578676999761228,24.100817515000017,0.03479507000020021,24.126882894999653,0.06086044999983642,24.132580695999877,0.06655825100006041,24.148887706000096,0.08286526100027913,0.014390042000286485,0,354,-0.06564463671462857,1.4983139166459767,18.559078859999772,5.5069435850000445,-0.0399926043898528,0.9125427960667517,cpu,0,396,99,0,64,15.23679202700032,1276479488,0,cuda,W,4
