phase,source_role,source_seed,schedule_id,grid_size,checkpoint,action_index,autocorrelation_ess,challenger_index,mcse,mean,observable,observable_type,required_for_strict_gate,split_rhat,standard_deviation,pooled_top_ten_member,absolute_estimate_over_mcse
CALIBRATION,calibration,2026082401,S1,24,late,371,13143.418853130841,,0.001204078434365876,0.055138113732233714,utility_action_371,TOP_ACTION_UTILITY,True,1.0010664328887895,0.13804127187895368,True,45.792792361796614
CALIBRATION,calibration,2026082401,S1,24,late,372,13975.675387671343,,0.0011024429208614259,0.04862893056291132,utility_action_372,TOP_ACTION_UTILITY,True,1.0004752115620106,0.13032943587576296,True,44.110157217857314
CALIBRATION,calibration,2026082401,S1,24,late,371,13751.63796956298,372.0,0.00158126069627914,0.006509183169322388,gap_371_vs_372,LEADER_CHALLENGER_GAP,True,1.0007584947454302,0.1854302959662343,True,4.116451629158385
CALIBRATION,calibration,2026082401,S1,24,late,373,12950.347166949537,,0.0005619102836813689,0.012471873648154004,utility_action_373,TOP_ACTION_UTILITY,False,1.0005656495394377,0.06394516109164275,False,22.19548922729127
CALIBRATION,calibration,2026082401,S1,24,late,371,13660.65421789526,373.0,0.0013088949681296673,0.04266624008407971,gap_371_vs_373,LEADER_CHALLENGER_GAP,False,1.001015653509689,0.15298207504017583,True,32.597145777897836
CALIBRATION,calibration,2026082401,S1,40,early,659,4989.8669475105835,,0.004072112679484144,0.2545817576521602,utility_action_659,TOP_ACTION_UTILITY,True,1.0016191869396716,0.28764992797743927,True,62.51834801496962
CALIBRATION,calibration,2026082401,S1,40,early,900,5572.715880783011,659.0,0.005954164617611499,0.1781807610132939,gap_900_vs_659,LEADER_CHALLENGER_GAP,True,1.0013196469317287,0.44448211276514676,True,29.925400531631713
CALIBRATION,calibration,2026082401,S1,40,early,660,6160.540488439547,,0.003538431134159754,0.23664723448583885,utility_action_660,TOP_ACTION_UTILITY,False,1.0007365807780673,0.2777283127671415,False,66.87914092809773
CALIBRATION,calibration,2026082401,S1,40,early,900,6303.299023915468,660.0,0.0055772136269471445,0.19611528417961516,gap_900_vs_660,LEADER_CHALLENGER_GAP,False,1.0007884497268007,0.44279349787849337,True,35.16366725349281
CALIBRATION,calibration,2026082401,S1,40,early,699,5755.045310006981,,0.004615985344438207,0.42419972447270904,utility_action_699,TOP_ACTION_UTILITY,True,1.0006791306269605,0.3501779491397806,True,91.89797904879109
CALIBRATION,calibration,2026082401,S1,40,early,900,5830.669883666213,699.0,0.006331106337227202,0.008562794192744985,gap_900_vs_699,LEADER_CHALLENGER_GAP,True,1.0013934796111366,0.48343582959645287,True,1.3524957150688426
CALIBRATION,calibration,2026082401,S1,40,early,700,5729.718660745403,,0.0045954618687109525,0.4115140594834912,utility_action_700,TOP_ACTION_UTILITY,True,1.0014038490718453,0.3478530501231064,True,89.54792167580811
CALIBRATION,calibration,2026082401,S1,40,early,900,6209.367469181762,700.0,0.006214962762241656,0.021248459181962862,gap_900_vs_700,LEADER_CHALLENGER_GAP,True,1.0012186218218329,0.48973620540036067,True,3.4189197900035073
CALIBRATION,calibration,2026082401,S1,40,early,739,5850.833145507838,,0.003719723330970142,0.24441950778239788,utility_action_739,TOP_ACTION_UTILITY,True,1.001271538909298,0.28452438628496357,True,65.70905576427663
CALIBRATION,calibration,2026082401,S1,40,early,900,5705.264858707285,739.0,0.005967571376913639,0.18834301088305616,gap_900_vs_739,LEADER_CHALLENGER_GAP,True,1.0014011971842325,0.45074978430880286,True,31.561082220430023
CALIBRATION,calibration,2026082401,S1,40,early,740,5526.143604422408,,0.0038980635133697566,0.25526639589368905,utility_action_740,TOP_ACTION_UTILITY,True,1.0016687259179609,0.28977438599914696,True,65.4854378380867
CALIBRATION,calibration,2026082401,S1,40,early,900,5706.834726802725,740.0,0.005946855492909831,0.17749612277176502,gap_900_vs_740,LEADER_CHALLENGER_GAP,True,1.0014946519046974,0.4492468421430274,True,29.847054966004418
CALIBRATION,calibration,2026082401,S1,40,early,859,5940.522298399408,,0.003737318061969702,0.25303385208495754,utility_action_859,TOP_ACTION_UTILITY,False,1.0009684375207262,0.28805298163227633,True,67.70466090638257
CALIBRATION,calibration,2026082401,S1,40,early,900,5801.836260946964,859.0,0.005822722692932365,0.17972866658049652,gap_900_vs_859,LEADER_CHALLENGER_GAP,False,1.0006352115946555,0.4435155399926152,True,30.86677419803138
CALIBRATION,calibration,2026082401,S1,40,early,860,6249.254259034223,,0.0036843244049069336,0.2581182922684752,utility_action_860,TOP_ACTION_UTILITY,True,1.0017779798903217,0.2912540414005347,True,70.0585138281262
