level,horizon,action_points,quadrature_points,belief_points,incumbent_points,first_action,value,forced_myopic_action,forced_myopic_value,forced_myopic_relative_loss,candidate_index,delta,noise_std,candidate_passes,diagnostic_to_optimal_ei_ratio,wall_clock_seconds
design_scan,2,201,15,81,101,0.25,0.5708880585747526,0.25,0.5708880585747526,0.0,12,0.25,0.25,False,0.017374972064124538,1.8502617911435664
design_scan,3,201,15,81,101,0.25,0.6539194793510429,0.25,0.6539194793510429,0.0,12,0.25,0.25,False,0.017374972064124538,1.8502617911435664
design_scan,1,201,15,81,101,0.25,0.37024435131306166,0.25,0.37024435131306166,0.0,13,0.3,0.1,False,5.220610567192201e-05,1.8142028748989105
design_scan,2,201,15,81,101,0.25,0.5292640591039595,0.25,0.5292640591039595,0.0,13,0.3,0.1,False,5.220610567192201e-05,1.8142028748989105
design_scan,3,201,15,81,101,0.25,0.5747224209731839,0.25,0.5747224209731839,0.0,13,0.3,0.1,False,5.220610567192201e-05,1.8142028748989105
design_scan,1,201,15,81,101,0.25,0.37237552012091857,0.25,0.37237552012091857,0.0,14,0.3,0.15,False,0.0017200968849329149,1.7947566248476505
design_scan,2,201,15,81,101,0.25,0.5337350622192159,0.25,0.5337350622192159,0.0,14,0.3,0.15,False,0.0017200968849329149,1.7947566248476505
design_scan,3,201,15,81,101,0.25,0.5967873873054991,0.25,0.5967873873054991,0.0,14,0.3,0.15,False,0.0017200968849329149,1.7947566248476505
design_scan,1,201,15,81,101,0.25,0.3770083390357767,0.25,0.3770083390357767,0.0,15,0.3,0.2,False,0.0078024686485370365,1.8185577921103686
design_scan,2,201,15,81,101,0.25,0.5443501314561147,0.25,0.5443501314561147,0.0,15,0.3,0.2,False,0.0078024686485370365,1.8185577921103686
design_scan,3,201,15,81,101,0.25,0.6202719624448789,0.25,0.6202719624448789,0.0,15,0.3,0.2,False,0.0078024686485370365,1.8185577921103686
design_scan,1,201,15,81,101,0.25,0.3838750497095302,0.25,0.3838750497095302,0.0,16,0.3,0.25,False,0.018319734201289017,1.878550167195499
design_scan,2,201,15,81,101,0.25,0.5620647109890196,0.25,0.5620647109890196,0.0,16,0.3,0.25,False,0.018319734201289017,1.878550167195499
design_scan,3,201,15,81,101,0.25,0.6497776379812408,0.25,0.6497776379812408,0.0,16,0.3,0.25,False,0.018319734201289017,1.878550167195499
design_scan,1,201,15,81,101,0.25,0.3459143904315648,0.25,0.3459143904315648,0.0,17,0.35,0.1,False,5.5861285811167545e-05,1.7755484587978572
design_scan,2,201,15,81,101,0.25,0.5311343905350435,0.25,0.5311343905350435,0.0,17,0.35,0.1,False,5.5861285811167545e-05,1.7755484587978572
design_scan,3,201,15,81,101,0.25,0.5768084719274208,0.25,0.5768084719274208,0.0,17,0.35,0.1,False,5.5861285811167545e-05,1.7755484587978572
design_scan,1,201,15,81,101,0.25,0.34982126997071356,0.25,0.34982126997071356,0.0,18,0.35,0.15,False,0.0018307202208155398,1.8525557501707226
design_scan,2,201,15,81,101,0.25,0.5349051114904769,0.25,0.5349051114904769,0.0,18,0.35,0.15,False,0.0018307202208155398,1.8525557501707226
design_scan,3,201,15,81,101,0.25,0.6003925777571385,0.25,0.6003925777571385,0.0,18,0.35,0.15,False,0.0018307202208155398,1.8525557501707226
design_scan,1,201,15,81,101,0.25,0.35614356048421697,0.25,0.35614356048421697,0.0,19,0.35,0.2,False,0.008258779585670978,1.8994622088503093
design_scan,2,201,15,81,101,0.25,0.5414789907470696,0.25,0.5414789907470696,0.0,19,0.35,0.2,False,0.008258779585670978,1.8994622088503093
design_scan,3,201,15,81,101,0.25,0.6215711981332535,0.25,0.6215711981332535,0.0,19,0.35,0.2,False,0.008258779585670978,1.8994622088503093
design_scan,1,201,15,81,101,0.25,0.36432698913541084,0.25,0.36432698913541084,0.0,20,0.35,0.25,False,0.01930133988250109,1.9493989578913897
design_scan,2,201,15,81,101,0.25,0.5553310005006522,0.25,0.5553310005006522,0.0,20,0.35,0.25,False,0.01930133988250109,1.9493989578913897
design_scan,3,201,15,81,101,0.25,0.6479618682614587,0.25,0.6479618682614587,0.0,20,0.35,0.25,False,0.01930133988250109,1.9493989578913897
