support_count,factor_count,state,record_kind,epsilon,stage,active_factor_count,active_factor_fraction,active_leader,worst_challenger,active_ei_gap,b_struct,max_psi,shadow_full_leader,shadow_full_action_agreement,shadow_full_laplace_ei_regret,cumulative_factor_energy_gradient_calls,cumulative_factor_energy_gradient_work,cumulative_factor_hessian_calls,cumulative_factor_hessian_work,stage_fit_conditioning_seconds,load_solve_seconds,load_solve_iterations,load_solve_relative_residual,cumulative_conditioning_seconds,activated_factor_count_after_stage,certified,full_bank_fallback,peak_rss_bytes,pair_solve_seconds,pair_solve_iterations,pair_solve_relative_residual
500,124718,seed_0_after_6_queries,stage,0.02,0,0,0.0,77,46,-3.1092252750465556e-06,2.1487350660974984,2.148731956872223,134,False,2.7154206867123845e-06,0,0,0,0,0.0,0.000704833073541522,17,6.4535320909211954e-12,0.0008292919956147671,115608,False,False,208355328,0.0006532499101012945,17,4.686980233453905e-12
500,124718,seed_0_after_6_queries,stage,0.02,1,115608,0.9269552109559166,134,53,-3.974481579417984e-06,0.1263598002284545,0.12635582574687507,134,True,0.0,90,10404720,1,115608,0.21098458394408226,0.0007374580018222332,17,5.417733861927217e-12,0.22468670806847513,108,False,False,208355328,0.0006597498431801796,17,6.115407970797454e-12
500,124718,seed_0_after_6_queries,stage,0.02,2,115716,0.9278211645472185,134,30,-4.066533057059432e-06,0.12287427480573582,0.12287020827267876,134,True,0.0,112,12950472,2,231324,0.05342266708612442,0.0007505419198423624,17,5.52175640090003e-12,0.2813111669383943,104,False,False,208355328,0.0006544170901179314,17,6.3300498137531495e-12
500,124718,seed_0_after_6_queries,stage,0.02,3,115820,0.9286550457832871,134,51,-4.018978670935046e-06,0.11238500361404656,0.11238098463537563,134,True,0.0,135,15614332,3,347144,0.0559948340523988,0.0006893749814480543,17,5.553489116391063e-12,0.34035479207523167,93,False,False,208355328,0.0006538340821862221,17,5.7014560950073616e-12
500,124718,seed_0_after_6_queries,stage,0.02,4,115913,0.9294007280424638,134,98,-4.590884933569843e-06,0.10945345353724459,0.10944886265231102,134,True,0.0,155,17932592,4,463057,0.050208874978125095,0.0007255419623106718,17,5.481271587334881e-12,0.39355925004929304,91,False,False,208355328,0.0006443748716264963,17,6.293662131550991e-12
500,124718,seed_0_after_6_queries,stage,0.02,5,116004,0.9301303741240238,134,153,-4.145205994580577e-06,0.1056388705252409,0.10563472531924632,134,True,0.0,178,20600684,5,579061,0.055302084190770984,0.0006928329821676016,17,5.479879436253198e-12,0.45212891697883606,88,False,False,208355328,0.000653125112876296,17,6.932648512865293e-12
500,124718,seed_0_after_6_queries,stage,0.02,6,116092,0.9308359659391587,134,9,-3.997986101385051e-06,0.09795490814120936,0.09795091015510797,134,True,0.0,200,23154708,6,695153,0.05481650005094707,0.0006903328467160463,17,5.391763806986428e-12,0.5100919168908149,81,False,False,208355328,0.0006501250900328159,17,6.627543681402758e-12
500,124718,seed_0_after_6_queries,stage,0.02,7,116173,0.9314854311326353,134,127,-3.7150988662531165e-06,0.09148172317027325,0.091478008071407,134,True,0.0,223,25826687,7,811326,0.057276666862890124,0.0006909999065101147,17,5.458046502725651e-12,0.5704261248465627,74,False,False,208355328,0.0006434591487050056,17,5.763881520789365e-12
500,124718,seed_0_after_6_queries,stage,0.02,8,116247,0.9320787697044532,134,155,-4.313790146077847e-06,0.08463969350437316,0.08463537971422708,134,True,0.0,247,28616615,8,927573,0.059321166947484016,0.0007174999918788671,17,5.491537435347167e-12,0.633169624954462,0,False,False,208355328,,,
500,124718,seed_0_after_6_queries,fallback,0.02,8,124718,1.0,134,,,0.0,,134,True,0.0,307,36099695,9,1052291,0.1496880000922829,0.0,0,0.0,0.7830891669727862,0,False,True,208355328,,,
500,124718,seed_0_after_12_queries,stage,0.02,0,0,0.0,133,69,-7.0613866525362e-06,1.7758680277763097,1.7758609663896572,133,True,0.0,0,0,0,0,0.0,0.0007335839327424765,17,6.5095045986266285e-12,0.0008705840446054935,113344,False,False,208355328,0.0006849579513072968,17,9.637591985824306e-12
500,124718,seed_0_after_12_queries,stage,0.02,1,113344,0.9088022578938084,133,53,-1.3520939623172732e-06,0.11939815304395648,0.11939680094999416,133,True,0.0,72,8160768,1,113344,0.1653324579820037,0.0007162499241530895,17,5.003855511204409e-12,0.17949308408424258,101,False,False,208355328,0.0006417909171432257,17,6.984242874382662e-12
500,124718,seed_0_after_12_queries,stage,0.02,2,113445,0.9096120848634519,133,30,-1.4511860040357332e-06,0.1169103464609122,0.11690889527490816,133,True,0.0,95,10770003,2,226789,0.05447170790284872,0.0006944590713828802,17,5.113684371592557e-12,0.2370959590189159,99,False,False,208355328,0.0006404160521924496,17,7.773068783068658e-12
500,124718,seed_0_after_12_queries,stage,0.02,3,113544,0.9104058756554788,133,51,-1.3966693488482204e-06,0.11372306239475583,0.11372166572540697,133,True,0.0,123,13949235,3,340333,0.0660669170320034,0.0007261659484356642,17,5.168355794915153e-12,0.3063145000487566,95,False,False,208355328,0.0007098750211298466,17,8.118060184888447e-12
500,124718,seed_0_after_12_queries,stage,0.02,4,113639,0.9111675940922722,133,98,-1.987153753813167e-06,0.10657635047150521,0.1065743633177514,133,True,0.0,151,17131127,4,453972,0.06833483278751373,0.0007457078900188208,17,5.1944615646310525e-12,0.37797274999320507,88,False,False,208355328,0.0006505418568849564,17,7.754701427893101e-12
500,124718,seed_0_after_12_queries,stage,0.02,5,113727,0.9118731859074071,133,153,-1.5376330939304453e-06,0.09885752714452209,0.09885598951142816,133,True,0.0,176,19974302,5,567699,0.060102124931290746,0.0007141251116991043,17,5.187227906070831e-12,0.4415894169360399,81,False,False,208355328,0.0006450829096138477,17,7.219525726261044e-12
500,124718,seed_0_after_12_queries,stage,0.02,6,113808,0.9125226511008836,133,9,-1.3909731680326853e-06,0.09389907041442522,0.09389767944125718,133,True,0.0,197,22364270,6,681507,0.051112249959260225,0.0007127078715711832,17,5.1270905771203515e-12,0.49622500012628734,77,False,False,208355328,0.0006770000327378511,17,6.4180519031115e-12
500,124718,seed_0_after_12_queries,stage,0.02,7,113885,0.9131400439391266,133,127,-1.0949915724823599e-06,0.07806556877098893,0.07806447377941644,133,True,0.0,220,24983625,7,795392,0.06269941688515246,0.0007433339487761259,17,5.150775005387422e-12,0.5622563750948757,61,False,False,208355328,0.000646041939035058,17,6.872788947151492e-12
500,124718,seed_0_after_12_queries,stage,0.02,8,113946,0.9136291473564361,133,155,-1.717879434234827e-06,0.07283554211459733,0.0728338242351631,133,True,0.0,246,27946221,8,909338,0.064614542061463,0.0007154999766498804,17,5.187871880669482e-12,0.6300399589817971,0,False,False,208355328,,,
500,124718,seed_0_after_12_queries,fallback,0.02,8,124718,1.0,133,,,0.0,,133,True,0.0,316,36676481,9,1034056,0.17565912497229874,0.0,0,0.0,0.8059738751035184,0,False,True,208355328,,,
1000,499361,seed_0_initial,stage,0.02,0,0,0.0,12,77,-0.0017863233459334757,2.113494805002452,2.1117084816565184,13,False,0.0020596752477041007,0,0,0,0,0.0,0.0007917499169707298,17,5.552394399799342e-12,0.0009556252043694258,470619,False,False,288702464,0.0007101660594344139,17,7.986833022803606e-12
1000,499361,seed_0_initial,stage,0.02,1,470619,0.9424424414401605,13,51,-0.0036916894743116192,0.24959747093211995,0.24590578145780834,13,True,0.0,83,39061377,1,470619,0.7610657911282033,0.0007833749987185001,17,8.911742856655234e-12,0.8189504172187299,446,False,False,316276736,0.0006806671153753996,17,8.195742992449132e-12
