x,ei,log_ei,second_improvement_moment,chi_square,ess_fraction,smooth_acquisition,smooth_second_moment
-1.5899999999999999,1.619031816659015e-05,-11.031097138423966,2.3512592195092326e-06,8968.944265669747,0.0001114834128710536,1.6762037007459536e-05,2.3561119910223114e-06
-1.58,1.619560444682885e-05,-11.030770682985363,2.351344415675858e-06,8963.414410248137,0.00011155218335921619,1.6814336580727548e-05,2.356287009646312e-06
-1.57,1.6202666381433837e-05,-11.030334737823088,2.3514594487859196e-06,8956.040007716994,0.00011164402516215666,1.6879567134423332e-05,2.3565186773978096e-06
-1.56,1.6212118757055984e-05,-11.02975152396869,2.3516151212388033e-06,8946.19064598208,0.00011176692657701114,1.696110731307069e-05,2.3568260153755812e-06
-1.55,1.6224792385977907e-05,-11.028970091389555,2.3518262214682926e-06,8933.020233561536,0.00011193169187634034,1.706324612894508e-05,2.3572345673172835e-06
-1.54,1.6241809991366988e-05,-11.027921776770748,2.3521130031137275e-06,8915.39566069436,0.00011215294139629125,1.7191430366781602e-05,2.3577786510095967e-06
-1.53,1.6264688304312447e-05,-11.026514161806201,2.352503208551054e-06,8891.804290477696,0.00011245046751684252,1.7352578182554544e-05,2.3585043801328306e-06
-1.52,1.6295475093895017e-05,-11.024623090291547,2.3530348322540327e-06,8860.235985263047,0.00011285107423649263,1.7555475790210707e-05,2.3594737132867705e-06
-1.51,1.6336932565106617e-05,-11.022082211668728,2.3537598864991156e-06,8818.036182523407,0.00011339107577103376,1.781127803721482e-05,2.360769868295505e-06
-1.5,1.639278202293511e-05,-11.018669440568337,2.3547495202397554e-06,8761.729166984167,0.00011411969729336802,1.813413830688518e-05,2.3625045448421805e-06
-1.49,1.6468029077405284e-05,-11.014089688366816,2.3561009574389623e-06,8686.81662146869,0.00011510371864075422,1.854199861865564e-05,2.364827532859314e-06
-1.48,1.656939413210845e-05,-11.007953291339824,2.357946870859578e-06,8587.567995918,0.0001164338456044457,1.90575770676043e-05,2.3679394546860382e-06
-1.47,1.670587964252706e-05,-10.999749826102397,2.3604679996392614e-06,8456.839134748236,0.00011823350906398707,1.970959685152805e-05,2.3721086035089326e-06
-1.46,1.688951382667262e-05,-10.988817612243718,2.363910063514197e-06,8285.986908999479,0.00012067112099743065,2.0534309014663816e-05,2.3776931074771766e-06
-1.45,1.713632030439879e-05,-10.97431035253355,2.3686063339061847e-06,8064.991200685172,0.000123977323446008,2.157736954018791e-05,2.3851699769561697e-06
-1.44,1.746757461444184e-05,-10.955164274913537,2.3750076034107156e-06,7782.945566013042,0.00012846955204392607,2.2896140277256166e-05,2.3951729902590964e-06
-1.43,1.7911421682628026e-05,-10.930071965777474,2.3837217614399313e-06,7429.113438133425,0.00013458744719397145,2.4562491966084183e-05,2.4085418483153894e-06
-1.42,1.8504942898268603e-05,-10.897472677877007,2.3955657443366514e-06,6994.722848795447,0.00014294448502518708,2.6666195708291643e-05,2.4263855860476784e-06
-1.4100000000000001,1.9296777071431354e-05,-10.85557246711555,2.4116332893920842e-06,6475.519997492253,0.00015440390833151228,2.9318995774618923e-05,2.450163868391284e-06
-1.4,2.035041545073524e-05,-10.802409231014513,2.43338268442545e-06,5874.757369235261,0.00017019082599221613,3.26594605482716e-05,2.481790515959511e-06
-1.3900000000000001,2.1748306041523737e-05,-10.735974686610964,2.462749559731907e-06,5205.7818056401165,0.00019205721256012207,3.685870829980487e-05,2.5237643839817086e-06
-1.38,2.3596915063712804e-05,-10.654394572116292,2.502290696597846e-06,4492.940340340836,0.0002225218681750805,4.212709874640599e-05,2.5793335303265192e-06
-1.37,2.6032901376978825e-05,-10.556149382357992,2.5553657887809823e-06,3769.578006346786,0.0002652113278963492,4.872196810931543e-05,2.6526994100667176e-06
-1.3599999999999999,2.9230560368211444e-05,-10.440295808028937,2.626365031659086e-06,3072.836796265575,0.00032532631570254697,5.6956462651228974e-05,2.7492685615414843e-06
-1.35,3.341068390820041e-05,-10.306634831640487,2.7209912439627457e-06,2436.56616511061,0.00041024527428761004,6.720949144595412e-05,2.8759598162859143e-06
-1.3399999999999999,3.885095890271355e-05,-10.15577779927469,2.8466058361305206e-06,1884.9225383936223,0.0005302444716800367,7.993677158388519e-05,3.04157536260227e-06
-1.33,4.5897984870803215e-05,-9.989089344458401,3.0126481841988995e-06,1429.0827923626432,0.0006992602144019212,9.568287676127935e-05,3.257243886360428e-06
-1.3199999999999998,5.498092723787934e-05,-9.808524210366125,3.231137677009673e-06,1067.885889214441,0.0009355535610400214,0.0001150941225881139,3.5369433487744127e-06
-1.31,6.662673464704857e-05,-9.616404639838981,3.517266682855035e-06,791.3339041610418,0.0012620941685675363,0.0001389320294022077,3.898109571759977e-06
-1.2999999999999998,8.147673384248521e-05,-9.415193052798344,3.890090723189381e-06,584.9931072568226,0.0017065047141616482,0.00016808699773829852,4.362334517151636e-06
-1.29,0.00010030427477715382,-9.207302243992784,4.373319044810465e-06,433.6826209007073,0.0023005290571035406,0.00020359171643616938,4.9561548106069654e-06
-1.28,0.00012403293439687196,-8.994963427649893,4.996204375762948e-06,323.7627113178477,0.003079171238416262,0.00024663370418975177,5.711926553345195e-06
-1.27,0.00015375460616039123,-8.78015269295963,5.794524819629223e-06,244.11029748305734,0.004079795954183126,0.00029856626965576376,6.668776723352871e-06
-1.26,0.00019074661354677946,-8.564564641316254,6.811643563666747e-06,186.21396513284978,0.0053414818669664165,0.0003609170724408388,7.873614516945055e-06
-1.25,0.0002364868031018539,-8.349618152427038,8.099623447953256e-06,143.82749138767085,0.006904766425341329,0.0004353933882256506,9.382177958337e-06
-1.24,0.000292665412883244,-8.136480537004472,9.720363718192163e-06,112.48532726699223,0.008811711822862717,0.0005238831376102551,1.1260082279646801e-05
-1.23,0.0003611923948250786,-7.926099791944664,1.174671589122361e-05,89.04078450306561,0.011106078267964814,0.0006284507414587687,1.358382736378282e-05
-1.22,0.00044419881484977807,-7.719238314562936,1.4263525207167779e-05,71.28897768661173,0.013833367575555089,0.0007513269257187615,1.644171251226294e-05
-1.21,0.0005440309817135864,-7.51650436105063,1.7368534400328077e-05,57.68348641231304,0.01704056901074267,0.000894891723364412,1.9934598644158167e-05
