x,iid_seed11_ei,iid_seed11_log_ei,iid_seed29_ei,iid_seed29_log_ei,iid_seed47_ei,iid_seed47_log_ei,iid_seed83_ei,iid_seed83_log_ei,qmc_seed11_ei,qmc_seed11_log_ei,qmc_seed29_ei,qmc_seed29_log_ei,qmc_seed47_ei,qmc_seed47_log_ei,qmc_seed83_ei,qmc_seed83_log_ei,high_budget_qmc_ei,high_budget_qmc_log_ei
-0.24,0.00014156368815865136,-8.862760849148447,0.00027340682303383414,-8.204549677753807,3.831952418980286e-05,-10.169551021697501,0.0,-inf,0.0002709387947757989,-8.213617612128218,0.00012148686136883712,-9.015704437912884,9.740309713576661e-05,-9.236652549712847,0.00013967877016114166,-8.87616527060002,0.0001905288483753677,-8.565706939821347
-0.22999999999999998,0.00011599929598623366,-9.061926435960519,0.00019671364651658115,-8.533761457667259,1.2755132017385241e-05,-11.269576856178258,0.0,-inf,0.0002453744026033816,-8.312725339997687,9.592246919641956e-05,-9.251970305328431,7.183870496334883e-05,-9.541087160812255,0.00011411437798872425,-9.078309296863996,0.00015353623331088799,-8.781573971163946
-0.21999999999999997,9.047495596016933e-05,-9.310437475277014,0.00012014062643838826,-9.026847614319227,0.0,-inf,0.0,-inf,0.00021985006257731714,-8.422564777701075,7.039812917035527e-05,-9.561343869438106,4.6314364937284545e-05,-9.980058387167372,8.859003796265992e-05,-9.3314911450196,0.00012381645593242686,-8.99671028302207
-0.20999999999999996,6.501003901759863e-05,-9.640968853569664,5.440524168187256e-05,-9.819050054297982,0.0,-inf,0.0,-inf,0.0001943851456347463,-8.545669080201328,4.493321222778455e-05,-10.010333343385156,2.0849447994713873e-05,-10.77818308514361,6.312512102008923e-05,-9.67039175322066,0.00010008631491477806,-9.20947759512741
-0.19999999999999996,3.96234392536708e-05,-10.136089714462534,2.1281771615326923e-05,-10.757659644356186,0.0,-inf,0.0,-inf,0.00016899854587081877,-8.6856204473929,1.9546612463856722e-05,-10.842708562052884,0.0,-inf,3.773852125616129e-05,-10.184829201193182,8.125495221021063e-05,-9.417918788332305
-0.18999999999999995,1.4333554115764945e-05,-11.152907327631992,0.0,-inf,0.0,-inf,0.0,-inf,0.0001437086607329128,-8.847722497155328,0.0,-inf,0.0,-inf,1.2448636118255486e-05,-11.293899489788958,6.640639199827596e-05,-9.61971724108079
-0.17999999999999994,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.00011853337262029494,-9.040316011550381,0.0,-inf,0.0,-inf,0.0,-inf,5.4769095018279625e-05,-9.812384482615734
-0.16999999999999993,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,9.349003190257191e-05,-9.277655738020634,0.0,-inf,0.0,-inf,0.0,-inf,4.5691856086947365e-05,-9.993590479731006
-0.15999999999999992,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,6.859544136608625e-05,-9.587284477829906,0.0,-inf,0.0,-inf,0.0,-inf,3.8656349521007105e-05,-10.160799513862113
-0.1499999999999999,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,4.386584209324653e-05,-10.034374625184254,0.0,-inf,0.0,-inf,0.0,-inf,3.323310312362543e-05,-10.311964096761038
-0.1399999999999999,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,1.9316900775704463e-05,-10.854530157384026,0.0,-inf,0.0,-inf,0.0,-inf,2.9078337220224704e-05,-10.445517086430852
-0.1299999999999999,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,2.590374609434904e-05,-10.561122962870229
-0.11999999999999988,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,2.3502312024883385e-05,-10.658411757615962
-0.10999999999999988,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,2.1696418840474128e-05,-10.738363341429771
-0.09999999999999987,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,2.0349913923215824e-05,-10.80243387590202
-0.08999999999999986,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,1.9358880076333583e-05,-10.852359325085882
-0.08000000000000007,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,1.864267760873987e-05,-10.890057110485746
-0.07000000000000006,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,1.8128063905076994e-05,-10.91804932847097
-0.06000000000000005,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,1.7773170994055423e-05,-10.93782048523144
-0.050000000000000044,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,1.7553057659126632e-05,-10.950282397636654
