round,batch_id,chunk_index,proposals_generated,proposals_consumed,accepted_candidates,accepted_retained,cumulative_proposals_generated,cumulative_proposals_consumed,cumulative_accepted_retained
5,cert-r05-7b1f78d701ef1cfec013,67,25000,25000,8390,8390,1700000,1700000,568683
5,cert-r05-7b1f78d701ef1cfec013,68,25000,25000,8351,8351,1725000,1725000,577034
5,cert-r05-7b1f78d701ef1cfec013,69,25000,25000,8258,8258,1750000,1750000,585292
5,cert-r05-7b1f78d701ef1cfec013,70,25000,25000,8286,8286,1775000,1775000,593578
5,cert-r05-7b1f78d701ef1cfec013,71,25000,25000,8561,8561,1800000,1800000,602139
5,cert-r05-7b1f78d701ef1cfec013,72,25000,25000,8340,8340,1825000,1825000,610479
5,cert-r05-7b1f78d701ef1cfec013,73,25000,25000,8330,8330,1850000,1850000,618809
5,cert-r05-7b1f78d701ef1cfec013,74,25000,25000,8450,8450,1875000,1875000,627259
5,cert-r05-7b1f78d701ef1cfec013,75,25000,25000,8346,8346,1900000,1900000,635605
5,cert-r05-7b1f78d701ef1cfec013,76,25000,25000,8441,8441,1925000,1925000,644046
5,cert-r05-7b1f78d701ef1cfec013,77,25000,25000,8362,8362,1950000,1950000,652408
5,cert-r05-7b1f78d701ef1cfec013,78,25000,25000,8350,8350,1975000,1975000,660758
5,cert-r05-7b1f78d701ef1cfec013,79,25000,25000,8387,8387,2000000,2000000,669145
5,cert-r05-7b1f78d701ef1cfec013,80,25000,25000,8505,8505,2025000,2025000,677650
5,cert-r05-7b1f78d701ef1cfec013,81,25000,25000,8302,8302,2050000,2050000,685952
5,cert-r05-7b1f78d701ef1cfec013,82,25000,25000,8353,8353,2075000,2075000,694305
5,cert-r05-7b1f78d701ef1cfec013,83,25000,25000,8268,8268,2100000,2100000,702573
5,cert-r05-7b1f78d701ef1cfec013,84,25000,25000,8261,8261,2125000,2125000,710834
5,cert-r05-7b1f78d701ef1cfec013,85,25000,25000,8576,8576,2150000,2150000,719410
5,cert-r05-7b1f78d701ef1cfec013,86,25000,25000,8396,8396,2175000,2175000,727806
5,cert-r05-7b1f78d701ef1cfec013,87,25000,25000,8434,8434,2200000,2200000,736240
5,cert-r05-7b1f78d701ef1cfec013,88,25000,25000,8326,8326,2225000,2225000,744566
5,cert-r05-7b1f78d701ef1cfec013,89,25000,25000,8379,8379,2250000,2250000,752945
5,cert-r05-7b1f78d701ef1cfec013,90,25000,25000,8470,8470,2275000,2275000,761415
5,cert-r05-7b1f78d701ef1cfec013,91,25000,25000,8204,8204,2300000,2300000,769619
5,cert-r05-7b1f78d701ef1cfec013,92,25000,25000,8537,8537,2325000,2325000,778156
5,cert-r05-7b1f78d701ef1cfec013,93,25000,25000,8330,8330,2350000,2350000,786486
5,cert-r05-7b1f78d701ef1cfec013,94,25000,25000,8384,8384,2375000,2375000,794870
5,cert-r05-7b1f78d701ef1cfec013,95,25000,25000,8254,8254,2400000,2400000,803124
