action_index,action,is_leader,is_maximizer,active_acquisition,estimated_gap,lambda_q,b_infer,b_struct,psi
101,-0.4487,False,False,0.19514561429516522,-0.12403396942320902,1.1552991977823388,0.01818698628759799,0.21284496352350882,0.10699798038789779
102,-0.44739999999999996,False,False,0.19521649720038659,-0.12396308651798765,1.1546615743733497,0.018176948672910646,0.21093488330867316,0.10514874546359615
103,-0.44609999999999994,False,False,0.19528781946560675,-0.12389176425276749,1.154466450212509,0.018173876983391256,0.2090445956138793,0.10332670834450308
104,-0.4448,False,False,0.19535961273233968,-0.12381997098603456,1.1547143986821444,0.018177780245356594,0.20717389598376773,0.10153170524308977
105,-0.4435,False,False,0.19543191568505872,-0.12374766803331552,1.155405679475706,0.018188662546960815,0.20532258208164247,0.09976357659528777
106,-0.4421999999999999,False,False,0.19550477647832057,-0.12367480724005367,1.156540238222033,0.018206523032280576,0.20349045366758683,0.09802216945981373
107,-0.44089999999999996,False,False,0.19557825557624636,-0.12360132814212788,1.1581177079984402,0.018231355925134383,0.20167731257680588,0.0963073403598124
108,-0.4396,False,False,0.19565242918913028,-0.12352715452924395,1.1601374127122692,0.018263150582315757,0.19988296269819145,0.09461895875126325
109,-0.43829999999999997,False,False,0.1957273935429939,-0.12345219017538034,1.1625983723078728,0.01830189157556278,0.19810720995311132,0.09295691135329376
110,-0.43699999999999994,False,False,0.19580327025041883,-0.12337631346795541,1.165499309734281,0.0183475588012447,0.19634986227441736,0.09132110760770665
111,-0.4357,False,False,0.1958802129679877,-0.12329937075038655,1.1688386595884845,0.01840012761642649,0.19461072958567194,0.08971148645171187
112,-0.43439999999999995,False,False,0.1959584150631884,-0.12322116865518584,1.1726145783307467,0.018459568999680653,0.19288962378058716,0.08812802412508197
113,-0.43309999999999993,False,False,0.19603811651734027,-0.12314146720103397,1.1768249559520187,0.01852584973475835,0.1911863587026819,0.08657074123640629
114,-0.43179999999999996,False,False,0.1961196042207454,-0.12305997949762884,1.1814674289596159,0.018598932615012904,0.18950075012514464,0.0850397032425287
115,-0.4305,False,False,0.1962031895974499,-0.12297639412092434,1.1865393945360407,0.018678776666291287,0.18783261573090834,0.08353499827627528
116,-0.42919999999999997,False,False,0.19628912261947087,-0.12289046109890336,1.1920380257173426,0.01876533738587532,0.18618177509293077,0.08205665137990273
117,-0.42789999999999995,False,False,0.19637734326911427,-0.12280224044925997,1.1979602874317041,0.01885856699496482,0.18454804965467903,0.08060437620038388
118,-0.4266,False,False,0.19646692461703424,-0.12271265910134,1.2043029532360494,0.018958414702149134,0.1829312627108171,0.07917701831162625
119,-0.42529999999999996,False,False,0.19655751515446646,-0.12262206856390778,1.2110626225882395,0.01906482697531003,0.18133123938809276,0.07777399779949501
120,-0.42399999999999993,False,False,0.19689805017156606,-0.12228153354680818,1.205029854067918,0.018969857742607413,0.17974780662642387,0.0764361308222231
121,-0.42269999999999996,False,False,0.19732438444352876,-0.12185519927484548,1.1954140036637775,0.018818482808928415,0.1781807931601792,0.07514407669426215
122,-0.4214,False,False,0.19775405968091006,-0.12142552403746418,1.1861774766224853,0.018673079271067865,0.17663002949965437,0.07387758473325806
123,-0.4201,False,False,0.19818616253114874,-0.1209934211872255,1.1773256767986027,0.01853373219774994,0.1750953479127404,0.07263565892326483
