component,count,cumulative_explained_squared_fraction,entropy_effective_rank,explained_squared_fraction,rank90,rank95,rank99,seed,singular_value,space,stable_rank
31,8,1.0,3.3831674901249307,7.364392835329517e-06,4,6,11,0,0.24561984062167985,acquisition,1.5208382149223372
32,8,1.0,3.3831674901249307,1.5307764138117256e-32,4,6,11,0,1.1198267893717162e-14,acquisition,1.5208382149223372
1,8,0.3187314332962463,4.838421461229756,0.3187314332962463,4,5,6,0,7.822815042737447,structural,3.1374376529425816
2,8,0.5682875323012625,4.838421461229756,0.24955609900501616,4,5,6,0,6.922049624855567,structural,3.1374376529425816
3,8,0.7713082620325251,4.838421461229756,0.20302072973126267,4,5,6,0,6.243394918504069,structural,3.1374376529425816
4,8,0.902453380880903,4.838421461229756,0.1311451188483779,4,5,6,0,5.017954047108099,structural,3.1374376529425816
5,8,0.9806476812916547,4.838421461229756,0.07819430041075172,4,5,6,0,3.874700721199552,structural,3.1374376529425816
6,8,0.9999999999999999,4.838421461229756,0.019352318708345237,4,5,6,0,1.927600890226575,structural,3.1374376529425816
1,11,0.5351030571345967,4.394751430783614,0.5351030571345967,5,6,12,0,66.20849072472967,acquisition,1.868798891478704
2,11,0.7574593524455979,4.394751430783614,0.22235629531100126,5,6,12,0,42.679535742410806,acquisition,1.868798891478704
3,11,0.8288767575668335,4.394751430783614,0.07141740512123562,5,6,12,0,24.187835429264066,acquisition,1.868798891478704
4,11,0.889267773340089,4.394751430783614,0.060391015773255424,5,6,12,0,22.24237400131803,acquisition,1.868798891478704
5,11,0.9387788756237824,4.394751430783614,0.04951110228369336,5,6,12,0,20.1393880221822,acquisition,1.868798891478704
6,11,0.9560845880594114,4.394751430783614,0.017305712435629082,5,6,12,0,11.906653445560318,acquisition,1.868798891478704
7,11,0.9700267032333264,4.394751430783614,0.013942115173914978,5,6,12,0,10.687086015594309,acquisition,1.868798891478704
8,11,0.977248697267149,4.394751430783614,0.007221994033822627,5,6,12,0,7.691721206925985,acquisition,1.868798891478704
9,11,0.9820861709831072,4.394751430783614,0.0048374737159581965,5,6,12,0,6.295123881317153,acquisition,1.868798891478704
10,11,0.9863118876118362,4.394751430783614,0.004225716628729004,5,6,12,0,5.883627335457947,acquisition,1.868798891478704
11,11,0.9890664629818444,4.394751430783614,0.002754575370008189,5,6,12,0,4.750313824486449,acquisition,1.868798891478704
12,11,0.9915321478116715,4.394751430783614,0.0024656848298271737,5,6,12,0,4.494317537284632,acquisition,1.868798891478704
13,11,0.9933623279672276,4.394751430783614,0.0018301801555560692,5,6,12,0,3.8720583459337634,acquisition,1.868798891478704
14,11,0.9950551406906581,4.394751430783614,0.0016928127234305836,5,6,12,0,3.723912167377654,acquisition,1.868798891478704
15,11,0.9962402936798308,4.394751430783614,0.0011851529891726336,5,6,12,0,3.115890448539905,acquisition,1.868798891478704
16,11,0.9972480961308569,4.394751430783614,0.0010078024510260042,5,6,12,0,2.8733112742626794,acquisition,1.868798891478704
17,11,0.9979744917438179,4.394751430783614,0.0007263956129610124,5,6,12,0,2.43939190401555,acquisition,1.868798891478704
18,11,0.9984999095079136,4.394751430783614,0.0005254177640956557,5,6,12,0,2.0746619781235713,acquisition,1.868798891478704
19,11,0.9989244038662554,4.394751430783614,0.00042449435834181535,5,6,12,0,1.8647943005962213,acquisition,1.868798891478704
20,11,0.9991769087278792,4.394751430783614,0.00025250486162382195,5,6,12,0,1.438234969127906,acquisition,1.868798891478704
21,11,0.9993627877797131,4.394751430783614,0.00018587905183389288,5,6,12,0,1.2339858964442219,acquisition,1.868798891478704
22,11,0.9995434325897935,4.394751430783614,0.00018064481008039056,5,6,12,0,1.2164876835293315,acquisition,1.868798891478704
23,11,0.9996723982154668,4.394751430783614,0.00012896562567335848,5,6,12,0,1.02785524540966,acquisition,1.868798891478704
24,11,0.9997605160826754,4.394751430783614,8.811786720849484e-05,5,6,12,0,0.8496243688666124,acquisition,1.868798891478704
25,11,0.9998366046776854,4.394751430783614,7.608859501010661e-05,5,6,12,0,0.7895047626979796,acquisition,1.868798891478704
26,11,0.9999081039500627,4.394751430783614,7.149927237729978e-05,5,6,12,0,0.765324793349098,acquisition,1.868798891478704
27,11,0.99995357844572,4.394751430783614,4.547449565723863e-05,5,6,12,0,0.6103499557009067,acquisition,1.868798891478704
28,11,0.9999780543924938,4.394751430783614,2.4475946773843717e-05,5,6,12,0,0.44778003078668843,acquisition,1.868798891478704
29,11,0.9999960281092721,4.394751430783614,1.7973716778374267e-05,5,6,12,0,0.38371954321931784,acquisition,1.868798891478704
