action_position_x,action_position_xhat,node_x,node_xhat,action_key_x,action_key_xhat,stable_pair_key,descriptor_graph_distance,distance_quartile,total_structural_influence,factors_for_50_percent,factor_fraction_for_50_percent,factors_for_75_percent,factor_fraction_for_75_percent,factors_for_90_percent,factor_fraction_for_90_percent,factors_for_95_percent,factor_fraction_for_95_percent
18,101,274,919,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000010236,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:1d322f57e54423a870f637708518e6a6c35eaff759e03f1a605294ac9f8f0357,7,3,1.5579068123975843,755,0.006053657050305489,3285,0.02633942173543514,50262,0.4030051796853702,84498,0.677512468128097
18,146,274,1613,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000011962,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:221acb7dd81344f6c0ff320bfbd824eb830d5710083eea7cd8c2a1c25050d098,7,3,1.4701280311595302,714,0.005724915409163072,2396,0.019211340784810533,49714,0.3986112670183935,84342,0.6762616462739941
18,75,274,717,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000010320,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:26e620c9df6375349421aba763591551b1851f72bef17afcbbb1c550bfe200fb,7,3,1.634493541756894,792,0.0063503263362145,4282,0.03433345627736173,50218,0.4026523837778027,84335,0.6762055196523357
18,185,274,2071,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000290276,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:272b230cf078617ce2d25967a55809d51db6826418828942d6d94ac5c659ef47,7,3,1.5117293284689977,734,0.005885277185330105,2990,0.023974085536971407,49950,0.4005035359771645,84397,0.6767026411584535
18,116,274,1187,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000010518,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:2d6443c822c4ca65927d79b94dc5bfd6be04b307667cf78e0a360bfab6179468,7,3,1.5710297725893032,762,0.00610978367196395,3783,0.03033242996199426,50563,0.405418624416684,84523,0.6777129203483058
18,74,274,716,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000011596,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:2e7a74218960ad8f281338db47363ffe9337e8cce8339b618630ae99b8fc372d,7,3,1.6882917525402195,817,0.006550778556423291,4780,0.03832646450392085,49588,0.3976009878285412,84124,0.6745137029137734
18,106,274,1047,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000009856,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:38a8774d44e7e1e67e9b9f6c37677a573d03eac891287a66fa2296ddf50aa2b8,7,3,1.6923549752041716,820,0.006574832822848346,4818,0.038631151878638206,49719,0.39865135746243524,84177,0.6749386616206161
18,57,274,653,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000010286,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:3d87705b843a355d26d3cf2d43b77b446e83e475b726f8396410f1af9abc130b,7,3,1.7186676437255,833,0.006679067977356917,5442,0.043634439295049635,49904,0.4001347038919803,84295,0.6758847961000016
18,120,274,1256,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000290331,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:480d4b9f5e81de56519753a92ee932882c56233bd133432391a4e4ee3ba50083,7,3,1.565162539377467,757,0.0060696932279221925,3222,0.02583428214050899,49012,0.39298256867493064,84082,0.6741769431838227
18,45,274,511,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000011201,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:48a28b53751d8308a768aed52d5e1789883fb7048d68f3ce065d37b64b600694,7,3,1.7230449849981402,832,0.0066710498885485655,4998,0.0400744078641415,50525,0.4051139370419667,84474,0.6773200339966966
18,123,274,1308,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000010448,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:49a5f8d538b56be7b01f633482286551c1228112cf7831bbff2d3387576e655e,7,3,1.7491336885418405,847,0.00679132122067384,6169,0.04946358985872128,50652,0.40613223432062734,84560,0.6780095896342148
18,149,274,1649,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000011568,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:4c4e90b9edcff5efcce24afd5be6ccaeca1472e69472066d08e8d4b117cc2bb2,7,3,1.4866028713084163,721,0.005781042030821533,2523,0.02022963806347119,49141,0.394016902131208,84104,0.6743533411376065
18,53,274,601,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000289794,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:541d0b4d14926315378a30196a2d9199c48e78fdc5072a66712b66912df9df3b,7,3,1.3811064982719086,671,0.0053801375904039515,1178,0.009445308616238234,49326,0.39550024856075305,84554,0.6779614811013647
18,153,274,1864,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000287048,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:56b66de969f5425f01d3fda9d6ff0bbe65d71a831a23a553a07da483e9164e3e,7,3,1.3719574675727513,666,0.005340047146362193,1038,0.008322776183069003,49565,0.3974165717859491,84523,0.6777129203483058
18,63,274,695,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000286978,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:5a326213be9b6cba8e620bc7c20801a5b85e1127964bfcd201c571b1f117883d,7,3,1.8043058296580416,873,0.006999791529690983,6467,0.05185298032361006,49464,0.3966067448163056,83959,0.6731907182603954
18,80,274,761,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000012255,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:5e10c7b001b2628ed97a087604278ff93a88b1a723b05637b6a986e2f941d5f9,7,3,1.5572251733143319,754,0.006045638961497138,3328,0.026684199554194262,49732,0.3987555926169438,84310,0.6760050674321268
14,18,148,274,current-nlr-pbe-gw-v1:gw:matdb:000009613,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:622826bb7225cac133db84cdb310697e81ea1bc273e3e1c108d95749c2d90eff,7,3,1.556156428385797,755,0.006053657050305489,3340,0.02678041661989448,49952,0.4005195721547812,84324,0.6761173206754438
18,143,274,1609,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000011392,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:6269044c8608d9d3ef8712f5ec51fa3280b911b4337b537b16bdd5d05a83b913,7,3,1.5394868911858293,746,0.0059814942510303245,3364,0.02697285075129492,50033,0.40116903734825765,84390,0.676646514536795
18,124,274,1310,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000010087,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:6693e36c0af5bf0efbd870f8534018e9d51201456a911b08658672b93221a853,7,3,1.6602250791642972,804,0.006446543401914719,4691,0.03761285459997755,49493,0.3968392693917478,83940,0.6730383745730367
