support_position,node_index,role,fps_addition_step,fps_selection_distance,action_key,composition_key,normalized_formula,pbe_band_gap_ev
76,309,pbe_only_fps,266,5.460049321404001,,current-nlr-pbe-gw-v1:composition:6a664935901e30f78387ba32df3186e56c1c182c75b5247414eeea6e8222ad13,Ba O2,2.316
77,310,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000011844,current-nlr-pbe-gw-v1:composition:318cf3095b5b9f55bc8f0b11e5983b6b8b69acf2d65eb086f697fc6a433bd08b,Ba O2 Zn,2.276
78,315,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000010465,current-nlr-pbe-gw-v1:composition:edc981c9299daf03ef149e162220d52662328a3e13acd0a0b3457a0ddcfcf535,Ba O3 Sn,0.395
79,316,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000286938,current-nlr-pbe-gw-v1:composition:260ca2612db2289785338c96231a0d8cc0fd503fa6261f716099cb8fbc6e24ce,Ba O3 Ti,1.991
80,318,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000286943,current-nlr-pbe-gw-v1:composition:61ef3c9e7df65ecf9ee295f77a6d29a95ea825593b61d46416633c9947c51822,Ba O3 Zr,3.509
81,326,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000289616,current-nlr-pbe-gw-v1:composition:d4c9a5fe9e4547716f005ba2d0671f923578b329e17e394f2cb02d6d94675ccb,Ba O6 Sb2,2.822
82,361,pbe_only_fps,287,5.308216735057236,,current-nlr-pbe-gw-v1:composition:84ab52ffb67fc9923496ddcc307e1e5aac79244f13647aee09f1f43e9b99de4c,Ba2 Fe Ge2 O7,1.369
83,377,pbe_only_fps,269,5.440426864951452,,current-nlr-pbe-gw-v1:composition:2867465d9776f3ce0825c85bd612e06b4126208af7b3bbee7937377d93dcf5f8,Ba2 Ir3 O9,0.241
84,394,pbe_only_fps,150,6.918696342889688,,current-nlr-pbe-gw-v1:composition:c3f405c87b175ca9fbbbd0bd6f54366d60cbd100275ac85984dadf246a1b42fb,Ba2 O3 Pd,0.648
85,395,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000289674,current-nlr-pbe-gw-v1:composition:7c9eddd5d6779d708a77b0d928271f7ffa59bd8a9a58a11ce34d1626e531f8c2,Ba2 O3 Zn,2.673
86,396,pbe_only_fps,195,6.188150346151547,,current-nlr-pbe-gw-v1:composition:94be7ecd4ca2aa38aa52e22bd24ea935ba1bea127ec9619be40e9b75d4f5fadb,Ba2 O4 Pb,1.271
87,398,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000012353,current-nlr-pbe-gw-v1:composition:64a15ba39d2aedbe6c0cb34ee4395726b7dbe03899311e4785fb992eeda797f2,Ba2 O4 Sn,2.445
88,399,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000289656,current-nlr-pbe-gw-v1:composition:bac270a8fba04d7bcdcb13c6f88f6bbce3636865d769170ba297e4b04bc6564d,Ba2 O4 Ti,4.061
89,408,pbe_only_fps,246,5.652615842636361,,current-nlr-pbe-gw-v1:composition:6148adbbc6ae974e216bfcee1f0325476c497e97f64ed3ee4641eb3d8581b9ab,Ba2 O8 Si3,4.499
90,423,pbe_only_fps,220,5.9758705144388875,,current-nlr-pbe-gw-v1:composition:308e60b4fa1e5839038e9036f7db8b9efeb9b9ae042d6a3a382884763a3b02b0,Ba3 Fe3 Nb O14 Si2,2.325
91,425,pbe_only_fps,29,13.39240985904952,,current-nlr-pbe-gw-v1:composition:918ba008350805c9a15a8b0f7dd5cec766e9328d9a42ad647da866463300c001,Ba3 Ge O,0.382
92,453,pbe_only_fps,176,6.451148022690656,,current-nlr-pbe-gw-v1:composition:401dab42afcd309f45cf8ab93f1d925518e46e3a9d92cc631b1336bc85883737,Ba3 O14 Pb V4,3.095
93,477,pbe_only_fps,293,5.254272871613644,,current-nlr-pbe-gw-v1:composition:d40741d169b95066ed22265985765bc1ed3a42262839acccdefb61932d11c817,Ba5 Fe5 O14,0.122
94,479,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000289701,current-nlr-pbe-gw-v1:composition:af9dc86b3427c8c22ac334891dd34e9b3871288975477a8c21735364d81993da,Ba5 Nb4 O15,2.703
95,480,pbe_only_fps,197,6.161310252772916,,current-nlr-pbe-gw-v1:composition:a08a2ca653f3dd22ab71c6ae7947eeac9dba73ccaec2e0390a2aa1c771e03d80,Ba5 O9 Pt2,2.163
96,484,pbe_only_fps,191,6.241101987829108,,current-nlr-pbe-gw-v1:composition:0cf09cc5bafa68976cc954f59deadba332a7aea8629faf2e7fdd49def41c7c71,Ba6 Na2 O15 Si4,4.177
97,493,pbe_only_fps,57,9.823078375496051,,current-nlr-pbe-gw-v1:composition:04717629ffa440b622cc500632b1b12dc971d8decd9bed759af478745e139261,Be Fe2 O4,0.664
98,494,pbe_only_fps,26,13.593505636785498,,current-nlr-pbe-gw-v1:composition:95f7cff33395ed868a55699c42fe90a1d906fabeb00e7321b6a9b5af3706a9c1,Be In2 O4,1.8
99,495,pbe_only_fps,277,5.389552097859385,,current-nlr-pbe-gw-v1:composition:8225b37083acfa18c9e0c7a507d68c22eede235114c3eaf8e3387fae786dabc6,Be2 O4 Sn,2.707
100,496,pbe_only_fps,41,11.334338784733154,,current-nlr-pbe-gw-v1:composition:5fa03dbb434b66300be75c37483f79bdde23190ab912e5062a08fe9cca4bc399,Be2 O4 Ti,3.005
101,497,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000286958,current-nlr-pbe-gw-v1:composition:9a6f79e2d9c1d224aa8887f12e2a32225b3f0ca84cde603126bd2dc7aed8e92d,Bi Cl O,2.579
102,498,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000012401,current-nlr-pbe-gw-v1:composition:508487e74049c737f1b83faf1d041e0a7996c6c0423c5eb7344c95e57e8b73d0,Bi Co O3,1.687
103,499,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000289702,current-nlr-pbe-gw-v1:composition:9ded9597d95c16717b4c54e367b356d1391e2b11d997c38bc2db75dec6803445,Bi Cr O3,1.675
104,500,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000289708,current-nlr-pbe-gw-v1:composition:87e4d897747d83b520e6dbd88cc326aa09611bdcf7ae747f5eff27000a015ec7,Bi Fe O3,1.978
105,501,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000289723,current-nlr-pbe-gw-v1:composition:8d3f1533bb35d42e0c3dcede4434aefb2ea0272d22f1c6b969b92ccf2dcb71ff,Bi Ga O3,1.892
106,502,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000286963,current-nlr-pbe-gw-v1:composition:c1a44fddae1f65cc59092a1f53ed4de1a860e0ea1bbf5785e6cdd8e65e06b5f0,Bi I O,1.519
107,503,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000011636,current-nlr-pbe-gw-v1:composition:16875af382ac8f537e38a231d465af418ca874db6e445f6f73cfa4b358cafec7,Bi In O3,2.799
108,504,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000286953,current-nlr-pbe-gw-v1:composition:72a9f8931ab3b30a889009c573f644ed3819d7b07ca39986ebfe9e6bf982879e,Bi Nb O4,2.92
109,505,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000289712,current-nlr-pbe-gw-v1:composition:b77ed67802fc13261ffaccd375f027539aa0f19004405437768d9d0868f41c36,Bi O4 Sb,2.294
110,506,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000286968,current-nlr-pbe-gw-v1:composition:f7c088c99118e08133f32a540923a4e1ec4ed751ce438e8f4279a0fa82180880,Bi O4 Ta,3.023
111,507,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000010975,current-nlr-pbe-gw-v1:composition:1afe14e7b30d7a9f52edd2afe8d8bfe8271ad7c275664e3cee60e3176483963a,Bi2 Cd O4,2.34
112,508,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000012174,current-nlr-pbe-gw-v1:composition:66a5fbfa7bf7d6d11e6b2be939d95f4b068300b3d3102dec3611baa884807110,Bi2 Cu O4,1.548
